Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,1197.00,1204.85,1175.70,1182.05,1194.521058002110692544,286162,9987,341826535.00,155813,54.45,29.15,-14.95
27-March-2025,1175.30,1209.60,1175.30,1198.00,1187.625797133944881526,151637,7390,180088013.00,68550,45.21,34.30,22.70
26-March-2025,1184.30,1201.90,1173.75,1181.75,1189.057055376820378918,257364,7735,306020480.00,145179,56.41,28.15,-2.55
25-March-2025,1214.80,1214.80,1174.80,1183.30,1187.994817848941848197,128904,9749,153137284.00,47220,36.63,40.00,-31.50
24-March-2025,1198.75,1210.60,1186.05,1200.55,1202.664888046345763790,150866,7506,181441241.00,72183,47.85,24.55,1.80
21-March-2025,1184.55,1202.00,1173.50,1188.80,1190.136699625611980416,62502,3175,74385924.00,24868,39.79,28.50,4.25
20-March-2025,1186.00,1186.00,1161.45,1177.30,1172.128488585994849244,114158,3379,133807844.00,70144,61.44,24.55,-8.70
19-March-2025,1160.10,1184.55,1158.85,1172.95,1172.924083418326265500,74516,3964,87401611.00,28455,38.19,25.70,12.85
18-March-2025,1143.10,1160.75,1138.30,1158.65,1150.265500176740897843,141450,7248,162705055.00,58213,41.15,22.45,15.55
17-March-2025,1118.95,1147.75,1115.00,1137.25,1135.518370301848090574,49727,3212,56465922.00,14967,30.10,32.75,18.30
13-March-2025,1137.75,1139.00,1115.20,1118.95,1126.687746231858272119,39343,2345,44327276.00,11905,30.26,23.80,-18.80
12-March-2025,1139.70,1155.55,1105.95,1127.70,1131.656435392041124344,133838,5436,151458634.00,29670,22.17,49.60,-12.00
11-March-2025,1135.15,1145.80,1124.90,1136.15,1138.197339276066990815,74040,3780,84272131.00,22519,30.41,20.90,1.00
10-March-2025,1156.50,1168.00,1137.05,1142.60,1155.229060421514746414,60591,3401,69996484.00,17500,28.88,30.95,-13.90
7-March-2025,1136.35,1156.80,1135.00,1144.45,1147.935839331733759886,78771,4099,90424054.00,15735,19.98,21.80,8.10
6-March-2025,1119.40,1148.00,1101.90,1135.25,1128.298585081539337088,152871,7851,172484133.00,28979,18.96,46.10,15.85
5-March-2025,1055.00,1118.00,1054.35,1112.55,1100.754510801761419392,202791,10109,223223108.00,66008,32.55,63.65,57.55
4-March-2025,1045.70,1063.35,1036.35,1059.35,1050.453008370495790904,83866,3797,88097292.00,42317,50.46,27.00,13.65
3-March-2025,1072.05,1081.60,1040.95,1052.75,1053.455366578725280740,131527,8352,138557824.00,63554,48.32,40.65,-19.30
28-February-2025,1074.75,1082.80,1060.05,1070.15,1072.139692801122553809,79818,3550,85576046.00,28334,35.50,22.75,-4.60
27-February-2025,1084.50,1087.95,1069.15,1078.40,1076.636896253196158569,99338,4878,106950956.00,38233,38.49,18.80,-6.10
25-February-2025,1076.00,1091.00,1068.00,1080.45,1079.877301583380678309,202415,11093,218583364.00,63098,31.17,23.00,4.45
24-February-2025,1087.95,1087.95,1066.35,1070.60,1073.673819418209293539,52940,3466,56840292.00,14824,28.00,21.60,-17.35
21-February-2025,1113.55,1118.90,1080.05,1082.95,1086.381821199380393892,180760,3102,196374378.00,128774,71.24,38.85,-30.60
20-February-2025,1078.95,1125.95,1075.25,1111.55,1106.784430556398276803,164810,4409,182409142.00,24869,15.09,50.70,32.60
19-February-2025,1065.00,1091.50,1055.25,1080.80,1078.989671761327088070,110377,4207,119095643.00,13962,12.65,36.25,15.80
18-February-2025,1089.95,1089.95,1061.55,1083.85,1075.411951805562758215,57849,5481,62211506.00,16590,28.68,28.40,-6.10
17-February-2025,1055.40,1089.95,1039.05,1082.40,1068.556256859178804944,194083,7397,207388604.00,63422,32.68,50.90,27.00
14-February-2025,1126.25,1126.25,1042.35,1062.90,1074.074659014090107763,301772,14776,324125658.00,117222,38.84,83.90,-63.35
13-February-2025,1131.10,1151.00,1106.05,1109.45,1135.941597189893774599,189032,10473,214729312.00,84593,44.75,44.95,-21.65
12-February-2025,1141.00,1143.75,1097.80,1129.45,1126.792283295151140170,179403,7725,202149916.00,54044,30.12,45.95,-11.55
11-February-2025,1144.35,1160.00,1114.65,1139.35,1141.222166343126703613,198842,8720,226922898.00,63117,31.74,45.35,-5.00
10-February-2025,1148.05,1158.95,1127.25,1143.25,1140.618266464194373401,100096,6025,114171326.00,29429,29.40,31.70,-4.80
7-February-2025,1160.30,1175.00,1133.50,1146.50,1152.650850154389655218,74163,3407,85484045.00,24285,32.75,41.50,-13.80
6-February-2025,1163.60,1168.40,1140.25,1163.95,1156.207068611276985516,98803,5077,114236727.00,43796,44.33,28.15,0.35
5-February-2025,1127.50,1154.90,1123.45,1144.25,1136.221774373245260035,201953,8024,229463396.00,75579,37.42,31.45,16.75
4-February-2025,1098.00,1128.40,1092.45,1126.25,1117.082378388328961295,130374,5569,145638498.00,24424,18.73,35.95,28.25
3-February-2025,1088.85,1093.90,1055.25,1084.70,1080.818333050842137642,159297,5977,172171118.00,73701,46.27,38.65,-4.15
1-February-2025,1110.90,1117.60,1062.20,1083.40,1095.875755260781998749,388773,11333,426046905.00,,,55.40,-27.50
31-January-2025,1087.90,1108.25,1075.00,1099.60,1096.101452313791263246,157404,6152,172530753.00,31847,20.23,33.25,11.70
30-January-2025,1100.05,1117.90,1011.00,1076.80,1066.468505002465859183,727941,28528,776326150.00,167525,23.01,106.90,-23.25
29-January-2025,1085.00,1103.10,1075.00,1097.25,1090.132176660339037049,75331,3842,82120747.00,22366,29.69,28.10,12.25
28-January-2025,1086.10,1097.10,1061.40,1079.25,1079.687380428828857435,125971,6013,136009299.00,48014,38.12,35.70,-6.85
