Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,304.30,306.50,299.00,301.20,303.442286075372564124,1588854,19439,482125490.00,678976,42.73,7.50,-3.10
27-March-2025,297.00,302.00,296.75,300.70,300.478952452956989247,1428480,16189,429228174.00,600513,42.04,5.25,3.70
26-March-2025,301.85,305.60,298.45,299.65,302.270812337813129161,887094,8770,268142624.00,257952,29.08,7.15,-2.20
25-March-2025,304.00,304.50,298.60,300.00,300.803391417898031844,1232169,18357,370640614.00,638777,51.84,5.90,-4.00
24-March-2025,297.45,304.80,296.05,302.15,302.158926896401380127,2256893,28108,681940367.00,1494937,66.24,8.75,4.70
21-March-2025,301.00,301.00,292.75,295.75,297.080327384621109749,859906,7486,255461156.00,249333,29.00,8.25,-5.25
20-March-2025,294.05,297.65,291.20,297.00,294.913603614977079896,1148555,11460,338724494.00,694174,60.44,6.45,2.95
19-March-2025,286.20,292.90,284.90,289.95,288.887494385905743322,598939,15293,173025987.00,235012,39.24,8.00,3.75
18-March-2025,281.70,285.85,280.30,285.20,283.331993935512227741,1169431,17186,331337217.00,669282,57.23,5.55,3.50
17-March-2025,280.70,283.30,276.75,280.15,279.597078785136587297,1414480,16523,395484476.00,909976,64.33,6.55,-0.55
13-March-2025,282.45,285.80,279.45,280.10,282.606307187320778924,1147326,11026,324241564.00,296825,25.87,6.35,-2.35
12-March-2025,279.55,280.45,274.15,276.75,276.540063524321595518,618031,5362,170910332.00,299417,48.45,6.30,-2.80
11-March-2025,271.00,278.55,269.00,277.15,274.372639511523471146,772033,8570,211824732.00,216486,28.04,9.55,6.15
10-March-2025,278.50,283.45,271.55,272.25,278.789955357587914048,1504623,17570,419473779.00,604814,40.20,11.90,-6.25
7-March-2025,276.25,279.65,274.05,277.00,278.064578516874409326,1299364,21820,361307103.00,680202,52.35,5.60,0.75
6-March-2025,276.70,281.10,271.80,272.80,274.611410451274277959,724371,6785,198920542.00,335072,46.26,9.30,-3.90
5-March-2025,265.00,275.85,263.30,274.80,270.287119215264864986,710966,8597,192164952.00,227602,32.01,12.55,9.80
4-March-2025,252.30,266.45,252.30,264.65,263.249933099729369471,1584448,16837,417105830.00,545931,34.46,14.15,12.35
3-March-2025,247.15,259.00,244.30,257.40,250.755997147544651180,2145520,27173,538002007.00,825959,38.50,14.70,10.25
28-February-2025,249.70,251.00,243.50,246.40,246.746007474580421034,1731736,22342,427298944.00,824044,47.58,7.50,-3.30
27-February-2025,257.40,258.00,252.00,252.45,254.364767971987633268,395254,6445,100538692.00,147719,37.37,6.00,-4.95
25-February-2025,256.05,258.50,255.30,256.40,257.119420652870987188,728199,12885,187234105.00,387832,53.26,3.20,0.35
24-February-2025,252.00,258.40,250.35,256.35,254.960863859923270326,299493,5690,76358994.00,91007,30.39,8.05,4.35
21-February-2025,260.00,262.60,254.50,256.05,256.859081029419698943,1037944,8074,266605342.00,579609,55.84,8.10,-3.95
20-February-2025,251.20,260.65,250.15,260.20,257.011485685025181651,1388511,13177,356863275.00,589086,42.43,10.50,9.00
19-February-2025,241.95,254.00,240.15,253.40,250.802460874993721342,557444,8184,139808327.00,123372,22.13,13.85,11.45
18-February-2025,249.40,249.40,240.50,244.55,243.710917742799414453,1286319,18595,313489984.00,402571,31.30,8.90,-4.85
