Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,1735.00,1746.00,1703.05,1730.95,1729.515217763495805402,75931,5263,131323820.00,40456,53.28,42.95,-4.05
27-March-2025,1740.40,1746.45,1717.05,1723.35,1733.986469351663385498,59938,2922,103931681.00,28505,47.56,29.40,-17.05
26-March-2025,1736.55,1764.60,1726.30,1737.55,1744.125774590718441347,110865,7355,193362504.00,37610,33.92,38.30,1.00
25-March-2025,1726.00,1740.00,1706.35,1733.70,1728.046978094484032726,128826,7801,222617380.00,48138,37.37,33.65,7.70
24-March-2025,1741.05,1741.05,1715.40,1718.30,1728.441848678653312417,124305,7773,214853964.00,88395,71.11,25.65,-22.75
21-March-2025,1705.30,1731.55,1691.70,1726.30,1714.407407407407407407,92394,6384,158400958.00,42907,46.44,39.85,21.00
20-March-2025,1665.25,1709.60,1645.70,1704.95,1684.990398171080205753,104980,5341,176890292.00,40316,38.40,63.90,39.70
19-March-2025,1634.95,1642.05,1627.75,1636.65,1634.721899098157103646,61208,5242,100058058.00,29334,47.93,14.30,1.70
18-March-2025,1647.00,1655.00,1622.00,1628.15,1633.785280246689642662,110260,9002,180141165.00,44512,40.37,33.00,-18.85
17-March-2025,1619.95,1647.60,1619.95,1639.40,1639.494123827133611118,1625718,7174,2665355108.00,1505178,92.59,27.65,19.45
13-March-2025,1664.95,1664.95,1630.70,1632.85,1644.624234483151508246,35107,3454,57737823.00,10744,30.60,34.25,-32.10
12-March-2025,1704.95,1717.25,1634.00,1642.60,1659.718054350968488002,442752,11135,734843488.00,253450,57.24,83.25,-62.35
11-March-2025,1625.10,1676.10,1624.95,1661.20,1658.246236432279377064,84760,6094,140552951.00,26701,31.50,51.15,36.10
10-March-2025,1656.85,1656.85,1625.85,1629.70,1639.689992731365330957,85298,5814,139862277.00,40559,47.55,31.00,-27.15
7-March-2025,1630.05,1639.00,1616.20,1631.45,1627.859703400664791613,39110,5564,63665593.00,18460,47.20,22.80,1.40
6-March-2025,1619.95,1631.85,1590.50,1626.85,1614.969614857664789161,32845,3523,53043677.00,9885,30.10,41.35,6.90
5-March-2025,1576.00,1626.50,1576.00,1616.60,1613.371495702714400544,80865,6130,130465286.00,39478,48.82,50.50,40.60
4-March-2025,1591.95,1591.95,1568.30,1575.95,1575.993729950422863808,41148,5326,64848990.00,12914,31.38,23.65,-16.00
3-March-2025,1587.25,1602.45,1573.75,1594.60,1589.622482089504288881,62254,5004,98960358.00,23655,38.00,28.70,7.35
28-February-2025,1645.05,1646.40,1561.00,1569.60,1586.479623539051564224,87871,5184,139405551.00,39313,44.74,85.40,-75.45
27-February-2025,1641.75,1655.50,1639.60,1649.70,1649.361291563792605893,155935,5336,257193153.00,98182,62.96,15.90,7.95
25-February-2025,1600.80,1649.00,1600.00,1641.60,1634.951458907773982468,194392,11082,317821484.00,62793,32.30,49.00,40.80
