Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,8999.95,9014.10,8860.00,8948.75,8928.144918821407095610,16630,2774,148475050.00,3255,19.57,154.10,-51.20
27-March-2025,8864.95,9052.00,8825.05,8986.00,8959.158234295415959252,32395,7195,290231931.00,10618,32.78,226.95,121.05
26-March-2025,9100.05,9125.55,8853.00,8864.95,8949.902572147596169559,30597,5930,273840169.00,12370,40.43,272.55,-235.10
25-March-2025,9130.95,9258.95,8980.00,9071.60,9092.492483079130407660,64122,10637,583028803.00,23581,36.78,278.95,-59.35
24-March-2025,9020.00,9114.25,8925.05,9094.90,9040.555345772249370650,54024,10229,488406962.00,23925,44.29,189.20,74.90
21-March-2025,8960.05,9070.00,8832.05,8918.60,8934.980056784670882082,72907,9689,651422591.00,28247,38.74,237.95,-41.45
20-March-2025,8711.05,8769.40,8542.45,8679.80,8636.801884135081844073,31951,6124,275954457.00,10859,33.99,226.95,-31.25
19-March-2025,8691.25,8878.00,8690.00,8737.15,8786.634169708029197080,21920,3702,192603021.00,6656,30.36,188.00,45.90
18-March-2025,8625.00,8698.00,8498.60,8679.75,8611.986780527813962464,20727,4013,178500650.00,6151,29.68,199.40,54.75
17-March-2025,8411.95,8625.25,8400.00,8580.00,8566.827634516877544765,22841,3290,195674910.00,11487,50.29,225.25,168.05
13-March-2025,8518.95,8560.00,8375.00,8419.25,8383.973411310943438667,302309,4403,2534550618.00,285058,94.29,185.00,-99.70
12-March-2025,8342.00,8525.00,8276.75,8490.05,8415.278209477946809674,27411,5391,230671191.00,8831,32.22,248.25,148.05
11-March-2025,8315.00,8375.40,8211.00,8342.40,8302.202483602328837792,27138,5144,225305171.00,11892,43.82,164.40,27.40
10-March-2025,8419.95,8637.65,8321.65,8343.65,8502.205968599181379436,32738,5739,278345219.00,9425,28.79,316.00,-76.30
7-March-2025,8410.85,8470.85,8368.00,8404.55,8416.743878180945195143,14579,2352,122707709.00,2495,17.11,102.85,-6.30
6-March-2025,8361.00,8460.00,8275.00,8403.60,8373.671864986114078188,28086,5412,235182948.00,8127,28.94,185.00,42.60
5-March-2025,8520.00,8520.00,8220.95,8309.00,8326.887326665700343044,62091,10708,517024761.00,24340,39.20,299.05,-211.00
4-March-2025,8599.95,8612.00,8517.00,8588.50,8566.323583282455458733,18017,4256,154339452.00,4890,27.14,95.00,-11.45
3-March-2025,8530.30,8650.00,8440.00,8627.80,8564.253354302845628348,61041,11807,522770589.00,32099,52.59,210.00,97.50
28-February-2025,8689.65,8689.65,8513.90,8542.25,8583.462433052792654934,19605,4526,168278781.00,4034,20.58,175.75,-147.40
27-February-2025,8525.00,8736.00,8525.00,8695.50,8687.253124425657048336,65292,11160,567208131.00,36346,55.67,211.00,170.50
25-February-2025,8354.90,8525.95,8343.75,8492.40,8481.166946460394121749,38719,11085,328382303.00,11764,30.38,182.20,137.50
24-February-2025,8300.20,8397.30,8300.20,8354.90,8361.126270325203252032,11808,3804,98728179.00,3709,31.41,97.10,54.70
21-February-2025,8350.25,8418.15,8290.00,8396.25,8369.835206528742214904,13969,2772,116918228.00,4118,29.48,128.15,46.00
20-February-2025,8312.05,8448.90,8312.05,8398.05,8393.039518749451128479,22774,3736,191143082.00,10075,44.24,136.85,86.00
19-February-2025,8464.00,8525.80,8401.55,8440.45,8463.398366921473245309,11512,2414,97430642.00,3079,26.75,124.25,-23.55
18-February-2025,8425.05,8478.00,8361.00,8461.20,8419.224824868651488616,18272,5714,153836076.00,9455,51.75,117.00,36.15
17-February-2025,8325.00,8485.00,8242.05,8425.70,8415.143891555106508377,23754,3662,199893328.00,5531,23.28,242.95,100.70
14-February-2025,8429.95,8459.15,8280.05,8390.05,8368.286679639129665664,28265,5882,236529623.00,11347,40.14,179.10,-39.90
13-February-2025,8214.95,8497.00,8214.95,8405.65,8418.319490115671786142,51698,8629,435210281.00,23194,44.86,282.05,190.70
12-February-2025,8228.80,8280.30,8027.20,8219.00,8161.630739972337482710,28920,5298,236034361.00,9530,32.95,253.10,-9.80
11-February-2025,8288.55,8350.00,8140.75,8187.90,8215.636499081805897231,28861,5339,237111485.00,5869,20.34,209.25,-100.65
10-February-2025,8470.35,8481.60,8220.00,8286.10,8329.551273257309440109,23326,3916,194295113.00,5790,24.82,261.60,-184.25
7-February-2025,8600.00,8600.00,8384.15,8470.35,8480.705089234097308990,53623,9292,454760849.00,17678,32.97,215.85,-129.65
6-February-2025,8510.15,8655.20,8460.30,8507.80,8536.088393887306034990,42469,7052,362519138.00,18505,43.57,194.90,-2.35
5-February-2025,8480.10,8587.00,8445.45,8509.85,8506.450961188046647230,43904,9653,373467223.00,19796,45.09,141.55,29.75
4-February-2025,8425.00,8492.95,8301.45,8479.90,8420.968758778442152574,49838,9238,419684241.00,11956,23.99,191.50,54.90
3-February-2025,7880.20,8440.00,7880.20,8423.80,8263.461152999853307906,170425,26079,1408300367.00,86032,50.48,559.80,543.60
1-February-2025,7914.95,8108.45,7782.50,8001.35,7961.353817742737410327,70395,10173,560439502.00,,,325.95,86.40
31-January-2025,7939.65,7979.95,7789.30,7885.55,7884.320853858784893267,36540,9161,288093084.00,13904,38.05,190.65,-54.10
30-January-2025,7850.00,8249.95,7846.75,7899.30,8048.871544928451989242,129773,19525,1044526207.00,38021,29.30,403.20,49.30
29-January-2025,7673.85,7786.20,7570.00,7758.10,7720.286109191430545957,31834,6374,245767588.00,7662,24.07,216.20,84.25
28-January-2025,7355.00,7704.00,7350.00,7604.70,7561.928600564794477565,63740,10199,481997329.00,25661,40.26,354.00,249.70
27-January-2025,7360.30,7470.30,7256.05,7293.30,7357.674048339123697168,40009,7698,294373181.00,20699,51.74,214.25,-67.00
24-January-2025,7439.10,7504.30,7341.00,7439.25,7447.378478664192949907,25872,4828,192678576.00,10995,42.50,163.30,0.15
23-January-2025,7374.95,7522.00,7335.85,7444.65,7458.310813980764719680,8526,2183,63589558.00,2935,34.42,186.15,69.70
22-January-2025,7310.65,7422.30,7260.45,7391.50,7333.192223387019918040,10493,2263,76947186.00,2931,27.93,161.85,80.85
21-January-2025,7437.90,7484.75,7278.50,7287.05,7375.049596489853482723,63815,14107,470638790.00,20216,31.68,206.25,-150.85
20-January-2025,7182.10,7465.00,7182.10,7437.70,7376.363447319778188539,21640,4496,159624505.00,7383,34.12,282.90,255.60
17-January-2025,7249.25,7282.00,7155.10,7180.60,7228.589751489012117477,19476,4877,140784014.00,7492,38.47,126.90,-68.65
16-January-2025,7190.40,7287.95,7190.40,7261.05,7251.834247531664505834,10027,2437,72714142.00,1778,17.73,97.55,70.65
15-January-2025,7334.35,7340.50,7109.95,7176.05,7182.815816017752672987,9914,2428,71210436.00,2369,23.90,230.55,-158.30
14-January-2025,7199.95,7386.90,7195.00,7334.35,7328.674720949738692818,30998,5838,227174259.00,8939,28.84,191.90,134.40
13-January-2025,7220.05,7252.00,7131.30,7147.10,7193.290779408724415960,9674,2294,69587895.00,4168,43.08,120.70,-72.95
10-January-2025,7270.15,7367.40,7215.30,7277.45,7290.907692831138783981,29391,5513,214287068.00,15587,53.03,152.10,7.30
9-January-2025,7353.25,7353.30,7236.05,7277.75,7282.230423777251571813,12247,2374,89185476.00,4711,38.47,117.25,-75.50
8-January-2025,7350.05,7386.00,7259.70,7353.30,7314.290071791279985991,28555,6283,208859553.00,13860,48.54,126.30,3.25
7-January-2025,7347.25,7442.95,7302.60,7359.70,7372.079650355363123927,24482,5018,180483254.00,4699,19.19,140.35,12.45
6-January-2025,7475.55,7599.00,7318.05,7347.05,7456.266106931903789673,91591,17232,682926869.00,44004,48.04,280.95,-128.50
3-January-2025,7390.00,7496.15,7360.60,7411.50,7421.299432682994326829,43362,6696,321802386.00,10631,24.52,135.55,21.50
2-January-2025,6951.05,7428.00,6951.05,7387.70,7281.128508848994528831,165047,22232,1201728417.00,85452,51.77,476.95,436.65
1-January-2025,6830.00,6945.60,6810.00,6936.65,6879.318329718004338394,7376,1537,50741852.00,2789,37.81,135.60,106.65
