Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,204.65,209.95,200.50,201.50,200.820424890544297098,8205831,15672,1647898468.00,6672010,81.31,9.45,-3.15
27-March-2025,204.25,208.75,200.50,205.75,204.709448108022547972,5692219,41362,1165251010.00,1973208,34.66,8.25,1.50
26-March-2025,203.50,206.90,199.90,203.30,203.638804717159650281,2784981,21518,567130202.00,584647,20.99,7.00,-0.20
25-March-2025,223.95,225.15,209.00,209.80,213.946454856248631592,2571419,24494,550145979.00,802695,31.22,16.15,-14.15
24-March-2025,229.15,230.35,222.10,222.70,225.227433771454540294,2924381,24923,658650828.00,1217539,41.63,8.25,-6.45
21-March-2025,220.75,228.70,220.00,227.55,225.036495467224166665,2752287,21824,619365021.00,916921,33.31,8.70,6.80
20-March-2025,226.60,228.20,221.85,224.50,224.926053325670351955,1520731,10552,342052022.00,585987,38.53,6.35,-2.10
19-March-2025,218.95,227.50,218.75,223.45,224.377521714033402552,3537574,33005,793752087.00,1035349,29.27,8.75,4.50
18-March-2025,204.05,219.35,204.05,218.35,213.063344784574860741,3881093,34801,826918656.00,1422159,36.64,15.30,14.30
17-March-2025,200.35,207.05,199.15,203.85,203.623472899512952339,1329644,12983,270746729.00,384225,28.90,7.90,3.50
13-March-2025,208.30,208.50,200.25,201.40,204.221018508449006319,864362,7638,176520888.00,196226,22.70,8.25,-6.90
12-March-2025,208.75,212.40,201.40,205.45,206.261813729380420611,2205125,14032,454833082.00,434430,19.70,11.00,-3.30
11-March-2025,206.95,210.25,199.75,208.00,205.241899703063748286,2902980,25094,595813130.00,759976,26.18,10.50,1.05
10-March-2025,217.35,219.40,210.50,211.20,213.644010381505318271,1333140,11955,284817376.00,373939,28.05,8.90,-6.15
7-March-2025,223.55,224.65,216.00,216.80,220.058071130381089171,1191952,10294,262298658.00,309817,25.99,8.65,-6.75
6-March-2025,231.30,231.35,224.60,225.40,227.530076907157305846,599164,8632,136327831.00,197354,32.94,6.75,-5.90
5-March-2025,229.95,231.75,225.40,226.80,228.211439993783081346,1158130,8734,264298515.00,272529,23.53,6.35,-3.15
