Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,410.45,415.60,408.20,409.80,412.350812795580680483,852982,9830,351727821.00,623754,73.13,7.40,-0.65
27-March-2025,407.55,410.50,405.70,409.40,409.376090135139411969,789925,5799,323376408.00,628102,79.51,4.80,1.85
26-March-2025,410.00,411.05,406.15,407.05,408.688216517976387627,748760,9887,306009389.00,456676,60.99,4.90,-2.95
25-March-2025,413.95,415.15,408.70,409.90,411.139428834238705982,921904,20223,379031084.00,416576,45.19,6.45,-4.05
24-March-2025,406.00,412.80,405.70,410.95,409.404860246860138640,1164303,20571,476671307.00,756815,65.00,7.10,4.95
21-March-2025,406.00,407.40,401.75,405.80,404.031323561240301168,522099,6924,210944350.00,362952,69.52,5.65,-0.20
20-March-2025,405.75,406.50,402.00,403.70,403.150253363171026570,2721390,17086,1097129068.00,2333016,85.73,4.50,-2.05
19-March-2025,410.70,410.70,402.45,403.05,406.099741298248103130,2650156,18764,1076227666.00,2426713,91.57,8.25,-7.65
18-March-2025,410.95,412.25,407.95,409.40,410.407736404356847990,410113,11213,168313548.00,233590,56.96,4.30,-1.55
17-March-2025,413.10,416.20,407.10,407.80,410.028670680248340366,148828,5230,61023747.00,52612,35.35,9.10,-5.30
13-March-2025,414.95,414.95,408.20,411.85,412.661354452157560965,399896,6904,165021625.00,278562,69.66,6.75,-3.10
12-March-2025,406.30,413.05,404.10,412.10,409.740818851583150553,284496,5183,116569624.00,181071,63.65,8.95,5.80
11-March-2025,402.00,408.25,401.10,406.10,406.342285257750807075,399281,11775,162244754.00,228908,57.33,7.15,4.10
10-March-2025,403.75,406.85,400.60,405.05,404.579129680009322847,248851,6969,100679921.00,116099,46.65,6.25,1.30
7-March-2025,405.65,405.70,401.80,403.80,403.770904306007244188,427101,13883,172450957.00,260881,61.08,3.90,-1.85
6-March-2025,409.75,409.75,400.60,405.75,403.475913106598445549,621313,17387,250684830.00,296287,47.69,9.15,-4.00
5-March-2025,394.80,412.60,394.65,405.35,400.877685363299612043,650331,15320,260703186.00,392533,60.36,17.95,10.55
4-March-2025,396.95,397.30,393.00,394.85,394.451240927689685896,462396,17935,182392676.00,207709,44.92,4.30,-2.10
3-March-2025,395.05,399.00,391.50,397.55,396.864968976726190308,354089,10603,140525520.00,145004,40.95,7.50,2.50
28-February-2025,399.80,402.40,392.35,394.70,395.212794230726161058,267902,10216,105878298.00,112587,42.03,10.05,-5.10
