Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,2133.65,2179.55,2133.65,2171.30,2166.074472442617230759,65917,4885,142781131.00,34497,52.33,45.90,37.65
27-March-2025,2133.25,2151.15,2118.00,2131.15,2135.856046131934553791,28787,2462,61484888.00,11520,40.02,33.15,-2.10
26-March-2025,2161.10,2175.20,2129.05,2143.35,2148.908279816170416610,66801,6313,143549222.00,33697,50.44,46.15,-17.75
25-March-2025,2176.25,2202.75,2160.00,2170.85,2183.596474315578542608,184645,11764,403190171.00,74360,40.27,42.75,-5.40
24-March-2025,2092.40,2189.40,2088.00,2178.35,2161.291206199734901157,245946,17859,531560927.00,124737,50.72,101.40,85.95
21-March-2025,2036.05,2096.00,2034.15,2084.40,2073.687241805198676906,70441,14083,146072603.00,31137,44.20,61.85,48.35
20-March-2025,2039.85,2039.85,2016.70,2035.25,2032.407245437857682755,37044,3350,75288494.00,26532,71.62,23.15,-4.60
19-March-2025,2039.45,2050.00,2016.85,2021.45,2034.906732821169440887,93720,9746,190711459.00,69029,73.65,33.15,-18.00
18-March-2025,2000.00,2039.05,1988.85,2034.60,2020.753322032872234161,66074,6796,133519255.00,24571,37.19,50.20,34.60
17-March-2025,1984.95,1998.50,1974.00,1992.80,1992.407447015360684425,20572,3550,40987806.00,10284,49.99,24.50,7.85
13-March-2025,1980.00,1993.00,1970.00,1984.80,1984.096464569720913741,78972,5493,156688066.00,66531,84.25,23.00,4.80
12-March-2025,1945.60,1997.00,1940.00,1982.40,1981.996867302131305558,74696,9405,148047238.00,26114,34.96,57.00,36.80
11-March-2025,1921.80,1943.70,1903.30,1934.95,1927.072123486193183094,44507,5123,85768199.00,22840,51.32,40.40,13.15
10-March-2025,1939.70,1939.70,1918.00,1921.80,1931.500917751944760073,11441,3512,22098302.00,3705,32.38,21.70,-17.90
7-March-2025,1921.70,1939.75,1910.50,1934.35,1925.749108358731599766,15421,2763,29696977.00,7345,47.63,29.25,12.65
6-March-2025,1962.95,1962.95,1910.50,1921.60,1924.055282894011249586,36268,4275,69781637.00,16278,44.88,52.45,-41.35
5-March-2025,1913.75,1953.00,1895.45,1940.30,1939.356476525462608961,1360112,5995,2637742016.00,1268613,93.27,57.55,26.55
4-March-2025,1911.95,1915.80,1898.35,1908.70,1908.720261531486386522,41907,4368,79988740.00,23208,55.38,17.45,-3.25
