Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,3519.00,3519.00,3473.50,3491.00,3488.141780714741390724,83079,6207,289791331.00,47880,57.63,45.50,-28.00
27-March-2025,3455.05,3528.00,3452.55,3503.30,3512.684433079622563610,150171,9464,527503334.00,104348,69.49,75.45,48.25
26-March-2025,3469.70,3495.70,3418.80,3442.60,3456.182448417623332299,103136,8593,356456833.00,63125,61.21,76.90,-27.10
25-March-2025,3507.00,3525.65,3436.60,3469.70,3471.105456076968129561,151959,11543,527465714.00,88528,58.26,89.05,-37.30
24-March-2025,3464.35,3515.90,3438.60,3481.10,3483.234992347201132493,165299,10417,575775261.00,107350,64.94,77.30,16.75
21-March-2025,3350.30,3454.40,3333.10,3417.35,3421.150218549874388278,137726,6831,471181335.00,106450,77.29,121.30,67.05
20-March-2025,3347.95,3359.00,3278.00,3349.20,3313.590427246052341457,58959,4274,195365978.00,36439,61.80,81.00,1.25
19-March-2025,3278.00,3326.00,3269.55,3318.80,3303.741077797181297193,81314,5893,268640402.00,48565,59.73,56.45,40.80
18-March-2025,3190.75,3278.70,3190.75,3271.05,3243.017435145975883865,161054,13795,522300930.00,95250,59.14,87.95,80.30
17-March-2025,3189.00,3240.00,3161.00,3182.90,3185.987261626076361794,146094,9568,465453623.00,99588,68.17,79.00,-6.10
13-March-2025,3213.70,3233.95,3179.25,3188.40,3209.835547397427496880,222818,10799,715209137.00,175945,78.96,54.70,-25.30
12-March-2025,3219.10,3220.00,3153.65,3193.90,3171.760998196947508316,118133,6606,374689642.00,84661,71.67,66.35,-25.20
11-March-2025,3161.20,3202.50,3160.00,3194.25,3185.788666889905867470,53754,5747,171248884.00,22580,42.01,42.50,33.05
10-March-2025,3268.25,3268.25,3169.80,3177.45,3204.891522408324262321,85437,8880,273816317.00,56918,66.62,98.45,-90.80
7-March-2025,3264.95,3289.50,3241.50,3245.55,3259.850466618808327351,27860,2578,90819434.00,17918,64.31,48.00,-19.40
6-March-2025,3264.45,3266.80,3215.10,3259.80,3245.965450399087799315,26310,3178,85401351.00,11320,43.03,51.70,-4.65
5-March-2025,3212.60,3245.00,3190.00,3239.15,3226.516590683845391476,100900,8419,325555524.00,68965,68.35,55.00,26.55
4-March-2025,3189.95,3220.00,3168.05,3213.30,3202.406754049970130372,56914,6897,182261778.00,25880,45.47,51.95,23.35
3-March-2025,3161.25,3226.90,3161.00,3198.35,3196.767137517278608877,122261,12687,390839947.00,68014,55.63,65.90,37.10
