Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,11721.60,11746.80,11400.10,11521.45,11560.674468657519504977,7434,1601,85942054.00,3543,47.66,346.70,-200.15
27-March-2025,11740.05,11824.70,11640.05,11721.65,11774.710813397129186602,36575,4841,430660048.00,30213,82.61,184.65,-18.40
26-March-2025,11848.95,11868.85,11720.00,11731.70,11792.153491755577109602,16496,1637,194523364.00,13232,80.21,148.85,-117.25
25-March-2025,11940.00,12067.00,11805.50,11897.30,11943.621907804655408489,10955,3499,130842378.00,3824,34.91,261.50,-42.70
24-March-2025,11739.60,11983.00,11739.60,11922.85,11937.416565949560873418,24822,3424,296310554.00,19947,80.36,243.40,183.25
21-March-2025,11736.05,11920.00,11707.85,11739.55,11873.993577111159769359,27402,3409,325371172.00,22860,83.42,212.15,3.50
20-March-2025,11621.30,11770.05,11586.55,11735.90,11688.092185226397329453,11683,3135,136551981.00,6332,54.20,183.50,114.60
19-March-2025,11744.00,11744.00,11550.00,11621.05,11617.172944382112518031,12478,1933,144959084.00,10376,83.15,194.00,-122.95
18-March-2025,11550.00,11734.70,11506.00,11720.20,11677.569006781013163143,10028,2376,117102662.00,4781,47.68,228.70,170.20
17-March-2025,11450.25,11755.65,11450.25,11557.50,11549.107566312186774232,8181,884,94483249.00,5716,69.87,305.40,107.25
13-March-2025,11655.05,11673.80,11491.50,11508.65,11605.914771241830065359,7650,1294,88785248.00,5786,75.63,182.30,-146.40
12-March-2025,11550.05,11685.00,11535.70,11638.95,11594.772653822249844623,24135,2833,279839838.00,21175,87.74,149.30,88.90
11-March-2025,11525.05,11691.15,11510.05,11646.40,11611.607240732727534977,6933,2039,80503273.00,3161,45.59,181.10,121.35
10-March-2025,11664.05,11708.40,11531.95,11567.40,11615.364992826398852223,3485,1219,40479547.00,1742,49.99,176.45,-96.65
7-March-2025,11668.95,11739.90,11600.10,11665.45,11667.158926174496644295,3725,798,43460167.00,1360,36.51,139.80,-3.50
6-March-2025,11699.80,11729.95,11485.00,11669.75,11608.559229367352252017,3841,979,44588476.00,1299,33.82,244.95,-30.05
5-March-2025,11616.70,11820.85,11578.35,11614.90,11677.232154920063048862,4441,1166,51858588.00,1958,44.09,242.50,-1.80
4-March-2025,11750.00,11750.00,11591.55,11616.90,11646.732067039106145251,4475,1671,52119126.00,809,18.08,158.45,-133.10
3-March-2025,11900.00,12050.00,11745.40,11768.40,11872.484258555133079847,6575,1778,78061584.00,2279,34.66,304.60,-131.60
28-February-2025,12322.05,12322.05,11819.30,11945.00,11945.338141025641025641,12480,3352,149077820.00,6379,51.11,502.75,-377.05
27-February-2025,12530.00,12559.15,12321.00,12384.65,12404.377802380293384998,3613,1018,44817017.00,1447,40.05,238.15,-145.35
25-February-2025,12360.05,12500.15,12360.05,12478.70,12454.812825200393756152,14222,6097,177132348.00,4038,28.39,140.10,118.65
24-February-2025,12288.80,12428.80,12208.00,12346.75,12339.478075106813582190,4447,1861,54873659.00,879,19.77,220.80,57.95
21-February-2025,12448.65,12448.65,12243.05,12320.15,12364.351135005973715651,8370,1454,103489619.00,5412,64.66,205.60,-128.50
20-February-2025,12626.50,12626.50,12385.00,12437.45,12450.995776135163674762,6629,1535,82537651.00,2619,39.51,241.50,-189.05
19-February-2025,12757.95,12770.00,12647.70,12679.25,12694.911489228847955042,6406,1456,81323603.00,3710,57.91,122.30,-78.70
18-February-2025,12705.25,12881.80,12705.25,12786.30,12799.574091332712022367,3219,938,41201829.00,697,21.65,176.55,81.05
17-February-2025,12644.95,12773.35,12572.90,12758.60,12643.656114483954900260,9224,3789,116625084.00,6570,71.23,200.45,113.65
14-February-2025,12843.95,12843.95,12581.95,12669.35,12671.474796747967479674,7380,1602,93515484.00,3008,40.76,262.00,-174.60
13-February-2025,12719.95,12743.70,12609.50,12668.25,12672.068257634077495509,3897,985,49383050.00,913,23.43,134.20,-51.70
12-February-2025,12724.35,12762.25,12609.80,12663.10,12658.662666316796838823,129572,2165,1640208239.00,120446,92.96,152.45,-61.25
11-February-2025,12886.05,13016.30,12703.40,12717.80,12885.659295093296475466,20258,4469,261037686.00,12395,61.19,312.90,-168.25
10-February-2025,13050.00,13050.00,12889.50,12899.10,12956.588749384539635647,8124,1718,105259327.00,4757,58.55,160.50,-150.90
7-February-2025,13074.95,13106.05,13010.30,13046.60,13048.609305588028992284,4277,1549,55808902.00,2080,48.63,95.75,-28.35
6-February-2025,13083.90,13129.35,13005.00,13076.95,13063.783038147138964577,5872,1890,76710534.00,2324,39.58,124.35,-6.95
5-February-2025,13105.00,13126.20,13005.80,13094.20,13053.488195861264937336,6862,1563,89573036.00,3121,45.48,120.40,-10.80
4-February-2025,13274.95,13274.95,12980.00,13109.75,13091.400647388864911523,23170,6280,303327753.00,11096,47.89,294.95,-165.20
3-February-2025,12952.05,13431.60,12930.75,13135.40,13183.212656587473002159,23150,7262,305191373.00,9717,41.97,500.85,183.35
1-February-2025,12320.00,13140.25,12242.45,12921.20,12810.521999043519846963,25092,4045,321441618.00,9749,38.85,897.80,601.20
31-January-2025,12019.45,12392.90,12005.15,12308.40,12255.885424001609496026,9941,3412,121835757.00,1870,18.81,387.75,288.95
30-January-2025,12120.00,12120.00,11925.20,11997.15,12018.773739516051286995,10373,3034,124670740.00,5003,48.23,194.80,-122.85
29-January-2025,12060.20,12321.95,11890.00,11973.15,12122.938476975073933248,18936,8354,229559963.00,3075,16.24,431.95,-87.05
28-January-2025,12000.05,12161.80,11885.10,12122.90,12006.771502119927316777,19812,4482,237878157.00,7237,36.53,276.70,122.85
27-January-2025,11939.60,12044.90,11800.15,11990.45,11976.259753420030400270,5921,2208,70911434.00,2927,49.43,244.75,50.85
24-January-2025,11948.95,12090.00,11912.60,11972.80,12000.424203187250996015,10040,2172,120484259.00,5579,55.57,177.40,23.85
23-January-2025,12021.00,12105.00,11957.55,12046.30,12043.039276631816897428,7078,2438,85240632.00,3666,51.79,147.45,25.30
22-January-2025,11920.70,12076.80,11907.50,12022.35,11983.475124378109452736,2814,1209,33721499.00,918,32.62,169.30,101.65
21-January-2025,12049.95,12147.25,11857.55,11882.30,11978.716715257531584062,24696,9333,295826388.00,6626,26.83,289.70,-167.65
20-January-2025,12179.55,12179.55,11985.00,12016.25,12022.940787401574803149,12700,1069,152691348.00,10735,84.53,194.55,-163.30
17-January-2025,12061.95,12180.00,12009.05,12113.30,12102.134758694109297374,11272,2285,136415263.00,8073,71.62,170.95,51.35
16-January-2025,11962.15,12130.00,11962.15,12093.70,12052.305414364640883977,4525,1756,54536682.00,1624,35.89,167.85,131.55
15-January-2025,11856.00,12194.50,11856.00,11940.60,12025.968992869161124909,12481,4412,150096119.00,5202,41.68,338.50,84.60
14-January-2025,11515.05,11777.85,11515.05,11742.50,11716.163413039417149262,21412,4943,250866491.00,11978,55.94,262.80,227.45
13-January-2025,11519.65,11650.05,11476.05,11490.45,11519.714541868388022234,50193,3007,578209032.00,45324,90.30,174.00,-29.20
10-January-2025,11651.70,11729.65,11570.20,11621.70,11651.469921104536489151,10140,3365,118145905.00,5159,50.88,159.45,-30.00
9-January-2025,11854.50,11854.50,11665.25,11743.65,11753.743336081341027754,3639,1396,42771872.00,538,14.78,189.25,-110.85
8-January-2025,11737.00,11858.05,11726.00,11818.05,11797.025782957028404952,6865,3180,80986582.00,2756,40.15,132.05,81.05
7-January-2025,11720.80,11825.70,11675.00,11728.30,11753.449016100178890876,7267,2521,85412314.00,1166,16.05,150.70,7.50
6-January-2025,11948.85,11968.55,11689.00,11749.20,11817.021988607807002848,23876,6215,282143217.00,11675,48.90,279.55,-199.65
3-January-2025,11879.30,12046.55,11796.90,11943.45,11945.967428355005681100,15842,4943,189248016.00,4070,25.69,249.65,64.15
2-January-2025,11300.00,11856.00,11228.35,11837.55,11628.413613724405091311,36140,9262,420250868.00,15623,43.23,627.65,537.55
1-January-2025,10884.95,11268.00,10800.00,11221.20,11101.748483097370702109,13844,3778,153692606.00,3947,28.51,468.00,336.25
31-December-2024,10789.35,10890.25,10749.00,10866.90,10852.526032013479359730,5935,2718,64409742.00,3824,64.43,141.25,77.55
30-December-2024,10946.30,10946.30,10755.00,10801.90,10855.551632999811213894,5297,1749,57501857.00,2436,45.99,191.30,-144.40
27-December-2024,10948.85,11132.35,10920.95,10938.20,10988.132785660941000746,6695,2490,73565549.00,1191,17.79,211.40,-10.65
26-December-2024,10799.95,10975.00,10772.90,10895.30,10890.662902628656053313,5402,1854,58831361.00,1367,25.31,202.10,95.35
24-December-2024,10823.00,10885.95,10725.00,10735.55,10783.503917423206068896,8041,1773,86710155.00,2553,31.75,160.95,-87.45
23-December-2024,10912.55,10990.95,10760.05,10822.05,10863.897389261490659694,26391,5405,286709116.00,21771,82.49,230.90,-90.50
20-December-2024,10988.65,11072.40,10869.35,10904.75,10971.582337883959044368,7032,2340,77152167.00,1239,17.62,203.05,-83.90
19-December-2024,10949.85,11032.10,10859.25,10954.95,10960.822389420884632922,13158,2995,144222501.00,7842,59.60,172.85,5.10
18-December-2024,11099.95,11099.95,10970.65,11005.90,11029.502856383685399229,7527,1602,83019068.00,4392,58.35,129.30,-94.05
17-December-2024,11265.00,11267.20,11071.00,11090.35,11134.023889191502606801,12851,3241,143083341.00,9143,71.15,196.20,-174.65
16-December-2024,11275.00,11313.00,11207.85,11267.20,11262.563299905811956341,18049,3527,203278005.00,13320,73.80,105.15,-7.80
13-December-2024,11105.05,11284.95,11031.20,11277.05,11189.495077881619937694,8025,2338,89795698.00,2051,25.56,253.75,172.00
12-December-2024,11319.95,11319.95,11082.00,11165.75,11152.867999541266867999,26159,4830,291747874.00,20667,79.01,237.95,-154.20
11-December-2024,11244.95,11320.00,11212.40,11282.80,11282.924392851687795937,6547,1806,73869306.00,2663,40.68,107.60,37.85
10-December-2024,11225.05,11311.90,11178.65,11203.60,11246.446561723280861640,4828,1600,54297844.00,2172,44.99,133.25,-21.45
9-December-2024,11318.00,11360.60,11253.10,11277.25,11290.460227855896541106,9743,2651,110002954.00,4828,49.55,107.50,-40.75
6-December-2024,11182.20,11374.55,11125.35,11318.20,11297.641220981108766150,19427,2845,219479276.00,13376,68.85,249.20,136.00
5-December-2024,11103.45,11264.95,11035.00,11180.75,11127.343387610406777624,16643,4334,185192376.00,7638,45.89,229.95,77.30
4-December-2024,11329.95,11329.95,11106.25,11131.35,11191.114920915827895144,9041,2217,101178870.00,2823,31.22,223.70,-198.60
3-December-2024,11236.40,11308.75,11206.75,11278.45,11267.449392140231834888,7074,2231,79705937.00,2136,30.20,102.00,42.05
2-December-2024,11105.05,11330.00,11105.05,11242.00,11257.680293816605454873,16609,3079,186978812.00,4899,29.50,224.95,136.95
