Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,363.00,364.55,356.45,357.65,359.949057998246273330,798300,16525,287347333.00,438524,54.93,8.10,-5.35
27-March-2025,354.00,364.40,351.15,360.80,357.933442638532458891,378756,7531,135569439.00,145719,38.47,13.25,6.80
26-March-2025,367.15,368.90,353.15,354.15,359.408636676597579259,1087849,19736,390982326.00,571844,52.57,15.75,-13.00
25-March-2025,370.95,371.10,364.15,367.15,367.665127191291436634,975224,23408,358555856.00,418761,42.94,6.95,-3.80
24-March-2025,358.70,368.00,353.75,367.35,363.300357006491027109,523800,11997,190296727.00,205939,39.32,14.25,8.65
21-March-2025,342.90,353.65,341.55,351.15,348.912983241681704895,398429,8415,139017051.00,149072,37.41,12.10,8.25
20-March-2025,343.40,344.60,340.35,341.65,342.471710418592001154,360327,6685,123401804.00,217551,60.38,4.25,-1.75
19-March-2025,339.00,343.90,336.65,341.20,341.387207290503304710,436952,11756,149169823.00,189086,43.27,7.25,2.20
18-March-2025,333.00,337.90,331.45,337.40,335.868097040010756612,156183,5470,52456887.00,57471,36.80,6.45,4.40
17-March-2025,332.15,334.45,330.60,331.60,332.034369710085924275,140007,4107,46487136.00,58304,41.64,3.85,-0.55
13-March-2025,332.35,334.45,328.50,331.70,331.467522085445329471,172625,4152,57219581.00,54928,31.82,5.95,-0.65
12-March-2025,331.00,334.75,326.40,330.10,330.598832010904566287,159933,3295,52873663.00,38703,24.20,8.35,-0.90
11-March-2025,327.00,333.20,323.75,330.20,329.436503021699710056,314889,6737,103735931.00,105809,33.60,9.45,3.20
10-March-2025,330.40,334.90,326.45,329.15,330.862935302150904745,234320,5695,77527803.00,69649,29.72,8.45,-1.25
7-March-2025,337.70,338.50,328.70,329.35,332.060903359242085598,299770,5874,99541897.00,91300,30.46,9.80,-8.35
6-March-2025,329.80,338.90,323.25,337.75,332.614266895039804647,809202,15056,269152130.00,243548,30.10,15.65,7.95
5-March-2025,313.90,327.20,313.75,326.60,323.968770790122490509,485507,10240,157289106.00,233207,48.03,13.45,12.70
4-March-2025,312.70,314.90,307.95,313.85,312.002754600598909677,312568,10501,97522077.00,122763,39.28,6.95,1.15
3-March-2025,310.95,316.85,307.75,314.50,311.194551278498830675,270669,8078,84230718.00,95464,35.27,9.10,3.55
28-February-2025,311.85,315.50,306.70,310.95,310.652181548205571479,512503,14330,159210175.00,202488,39.51,8.80,-0.90
27-February-2025,317.95,319.35,314.40,315.75,315.716434097705808765,186253,6366,58803133.00,86683,46.54,4.95,-2.20
25-February-2025,320.10,321.65,315.75,318.95,318.262572266930071758,550736,15937,175278656.00,150688,27.36,5.90,-1.15
24-February-2025,323.60,325.50,319.50,320.10,322.413171011658678116,188186,6530,60673645.00,52773,28.04,6.00,-3.50
21-February-2025,324.95,329.70,321.45,325.95,327.330821582017301746,518098,10784,169589444.00,282696,54.56,8.25,1.00
20-February-2025,314.35,327.15,311.15,325.15,321.699510011493557558,330620,6166,106360292.00,111452,33.71,16.00,10.80
19-February-2025,311.55,316.20,310.45,314.70,314.142533862181333421,364566,8426,114525687.00,116571,31.98,5.75,3.15
18-February-2025,301.95,312.40,297.45,311.40,305.723276777988323822,547782,10348,167469708.00,203421,37.14,14.95,9.45
17-February-2025,297.05,303.10,292.70,302.50,299.412057899767854704,234336,5702,70163024.00,77670,33.14,10.40,5.45
14-February-2025,307.30,308.00,298.45,300.25,301.356889396375210658,309149,11530,93164181.00,114140,36.92,9.55,-7.05
13-February-2025,306.25,308.55,303.30,306.95,306.722117291977107278,526805,8604,161582745.00,343585,65.22,5.25,0.70
12-February-2025,306.05,307.45,300.00,306.25,303.545017078054279608,356598,11388,108243546.00,132723,37.22,7.45,0.20
11-February-2025,311.25,312.10,304.10,305.70,308.387741408368428738,506714,9124,156264386.00,184793,36.47,8.00,-5.55
10-February-2025,316.90,316.90,309.10,310.30,311.002916823485133609,180676,4724,56190763.00,51290,28.39,7.80,-6.60
7-February-2025,314.35,319.30,312.50,316.85,316.084446642169609439,117293,4778,37074493.00,30308,25.84,6.80,2.50
6-February-2025,322.00,322.45,311.45,312.75,314.077895307313390947,309993,5207,97361949.00,123264,39.76,11.00,-9.25
5-February-2025,321.45,322.90,318.40,319.55,320.185822285972509271,736903,15313,235945893.00,510655,69.30,4.50,-1.90
4-February-2025,313.35,320.35,310.50,319.15,316.558277332988859839,356099,7624,112726086.00,114994,32.29,9.85,5.80
3-February-2025,314.00,314.05,303.95,311.15,308.245538435254788245,866288,13325,267029411.00,642478,74.16,10.10,-2.85
1-February-2025,326.90,330.80,316.55,317.65,325.234916319538214806,662819,13636,215571882.00,154063,23.24,14.25,-9.25
31-January-2025,322.70,325.75,318.00,324.25,322.899427815301396654,412629,9016,133237668.00,185958,45.07,7.75,1.55
30-January-2025,322.95,326.90,321.15,323.10,323.794424018265240388,228193,4326,73887621.00,67436,29.55,5.75,0.15
29-January-2025,319.00,322.60,313.45,321.20,319.698087396553619074,427637,6670,136714731.00,131822,30.83,9.15,2.20
28-January-2025,322.10,324.05,308.20,317.95,314.142087844795754313,872038,21812,273943838.00,318088,36.48,15.85,-4.15
27-January-2025,323.70,324.50,314.50,322.05,320.864125316583006464,437484,12303,140372921.00,145140,33.18,10.00,-1.65
24-January-2025,325.00,329.85,322.20,323.70,325.650248853845193285,280285,6713,91274880.00,76925,27.45,7.65,-1.30
23-January-2025,320.25,325.10,319.55,323.65,322.897051980562509203,169775,6413,54819847.00,50975,30.02,5.55,3.40
22-January-2025,327.45,327.45,317.45,322.45,321.530064955980244792,372560,4611,119789241.00,130517,35.03,10.00,-5.00
21-January-2025,338.40,338.40,323.85,324.25,329.485323464378589606,1150544,26563,379087362.00,389966,33.89,14.55,-14.15
20-January-2025,326.50,336.85,324.65,336.05,333.696435977705685504,528027,11659,176200728.00,192359,36.43,12.20,9.55
17-January-2025,326.15,329.05,322.85,326.40,326.757926929556678713,224961,8116,73507790.00,81109,36.05,6.20,0.25
16-January-2025,326.35,327.30,321.80,325.60,325.230302548156244487,289111,5255,94027658.00,73804,25.53,5.50,-0.75
15-January-2025,312.90,324.20,312.90,321.25,320.582253443582345204,882729,15562,282987252.00,319190,36.16,11.30,8.35
14-January-2025,299.25,312.80,299.25,310.85,309.395757354208718807,817933,17762,253065000.00,226339,27.67,13.55,11.60
13-January-2025,301.75,310.00,296.85,298.25,299.369147613424932016,1341504,8639,401604909.00,1092758,81.46,13.15,-3.50
10-January-2025,320.70,320.70,307.45,308.20,312.189117006442096043,347092,6451,108358345.00,130947,37.73,13.25,-12.50
9-January-2025,325.35,326.10,319.85,320.30,321.571393060122255742,177006,13950,56920066.00,86920,49.11,6.25,-5.05
