Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,294.20,294.20,288.10,290.45,290.384257038196141378,223033,3598,64765272.00,96476,43.26,6.10,-3.75
27-March-2025,289.90,297.10,289.60,294.90,294.018188133581075776,420329,8797,123584371.00,180910,43.04,7.50,5.00
26-March-2025,291.50,296.70,289.65,291.35,294.021906021441450742,561809,7848,165184153.00,288094,51.28,7.05,-0.15
25-March-2025,289.00,295.30,287.65,291.15,291.914538738417752899,465907,10880,136005027.00,158463,34.01,7.65,2.15
24-March-2025,286.90,293.95,285.00,291.90,290.861753882182385904,143476,5266,41731681.00,54296,37.84,8.95,5.00
21-March-2025,280.70,285.30,280.15,283.00,283.083883369389976712,435426,3422,123262083.00,356654,81.91,5.15,2.30
20-March-2025,280.20,283.15,277.05,279.95,279.502253138006751220,122052,5600,34113809.00,39294,32.19,6.10,-0.25
19-March-2025,272.00,278.30,270.00,276.95,274.427148852167979941,603834,11116,165708443.00,431682,71.49,8.30,4.95
18-March-2025,269.55,272.30,267.50,270.80,270.568988969474687064,181587,4457,49131811.00,64018,35.25,4.80,1.25
17-March-2025,270.00,270.50,264.90,267.30,267.121201536849458609,88753,2869,23707808.00,35073,39.52,5.60,-2.70
13-March-2025,270.00,270.65,265.55,267.60,267.678751764380611457,137442,4536,36790303.00,51620,37.56,5.10,-2.40
12-March-2025,271.85,272.50,263.60,267.10,267.415679120065572036,189105,4853,50569642.00,82461,43.61,8.90,-4.75
11-March-2025,270.95,271.80,266.00,267.35,268.303662930176960821,239262,7066,64194871.00,96717,40.42,5.80,-3.60
10-March-2025,261.95,274.00,261.30,271.40,271.144575964684466383,333451,7103,90413430.00,67013,20.10,12.70,9.45
7-March-2025,266.60,268.70,261.60,263.20,264.121963141413002025,186171,2905,49171850.00,50745,27.26,7.10,-3.40
6-March-2025,265.00,267.35,260.70,266.45,264.285001923230195060,288577,5812,76266573.00,91496,31.71,6.65,1.45
5-March-2025,256.30,267.15,256.30,264.90,263.119223996755530229,584379,7649,153761349.00,250521,42.87,10.85,8.60
4-March-2025,250.35,257.10,249.40,254.05,253.954621129965939118,196413,5712,49879989.00,68384,34.82,7.70,3.70
3-March-2025,251.35,253.65,248.40,252.55,251.003225656734428664,86184,3147,21632462.00,32198,37.36,5.25,1.20
28-February-2025,255.00,256.50,247.50,250.65,251.195476725754483387,193046,4004,48492282.00,100202,51.91,9.00,-4.35
27-February-2025,253.00,257.30,253.00,256.15,255.710037995312815551,212921,4439,54446037.00,76351,35.86,4.30,3.15
25-February-2025,259.15,259.65,254.85,255.90,256.361106455046726327,459377,13375,117766396.00,160442,34.93,4.80,-3.25
24-February-2025,258.05,261.80,257.15,259.15,259.693732625030965291,72662,3603,18869866.00,21121,29.07,4.65,1.10
21-February-2025,265.65,265.65,259.45,261.75,261.293568994973974855,2011132,9473,525495858.00,1822892,90.64,6.20,-3.90
20-February-2025,262.35,266.50,261.50,265.80,264.951888398224084367,168026,4647,44518806.00,89958,53.54,5.00,3.45
19-February-2025,265.10,268.50,262.40,263.15,265.387435213840933666,214552,4516,56939405.00,125149,58.33,6.10,-1.95
18-February-2025,264.00,267.85,260.30,266.75,263.221067349988297917,166637,2940,43862369.00,49760,29.86,7.55,2.75
17-February-2025,255.55,263.70,252.10,263.15,259.705682716298098529,258116,5251,67034192.00,124325,48.17,11.60,7.60
14-February-2025,260.10,261.30,254.70,257.35,257.227283918838763108,178706,5102,45968059.00,70842,39.64,6.60,-2.75
13-February-2025,256.65,261.30,256.10,259.10,260.095221583524685745,389334,4931,101263913.00,245916,63.16,5.20,2.45
12-February-2025,261.45,262.10,254.00,257.30,257.810209347876476294,910303,15813,234685407.00,697867,76.66,8.10,-4.15
11-February-2025,268.50,268.85,260.00,261.50,262.681046287038264005,498066,11790,130832498.00,133271,26.76,8.85,-7.00
10-February-2025,275.95,275.95,268.10,268.70,270.262950577916911912,309214,8709,83569088.00,143459,46.39,7.85,-7.25
7-February-2025,277.00,281.90,270.05,278.30,276.019648261276306019,373061,7176,102972166.00,77644,20.81,11.85,1.30
6-February-2025,285.30,290.80,279.80,281.25,284.478779837023148482,346675,4517,98621681.00,62892,18.14,11.00,-4.05
5-February-2025,286.85,290.70,284.35,285.15,287.537724498341519073,273443,7767,78625178.00,97427,35.63,6.35,-1.70
4-February-2025,279.15,286.35,272.30,285.75,281.123607061910634604,634899,12196,178485097.00,159161,25.07,14.05,6.60
3-February-2025,287.80,290.00,278.00,283.90,282.224390853996009603,1015438,16393,286581371.00,723436,71.24,12.00,-3.90
1-February-2025,301.50,305.45,288.65,289.95,294.259830711493888491,526793,9705,155014019.00,299541,56.86,16.80,-11.55
31-January-2025,296.05,303.40,296.00,301.85,301.038049091159460203,116192,2329,34978213.00,35466,30.52,7.40,5.80
30-January-2025,287.55,297.00,287.55,295.25,294.339367866112948548,201065,4306,59181345.00,51451,25.59,9.45,7.70
29-January-2025,285.65,289.20,283.30,287.80,287.072706093847452030,109028,5200,31298963.00,66635,61.12,5.90,2.15
28-January-2025,285.05,288.85,279.45,283.85,283.041562830679427678,550949,8951,155941466.00,232058,42.12,9.40,-1.20
27-January-2025,295.00,295.00,283.80,287.05,286.988658795003445363,193013,3708,55392542.00,47053,24.38,11.20,-7.95
24-January-2025,295.60,302.35,294.35,295.75,298.876302789374760898,300605,3734,89843711.00,89130,29.65,8.00,0.15
23-January-2025,297.30,299.55,293.75,294.30,296.770142473208964454,177858,3249,52782944.00,51816,29.13,5.80,-3.00
22-January-2025,302.35,302.35,295.95,297.85,297.884197897363280805,439258,3599,130848017.00,359288,81.79,6.40,-4.50
21-January-2025,306.65,309.80,301.55,302.30,305.060688729114612547,1058994,22011,323057439.00,332499,31.40,8.25,-4.35
20-January-2025,303.60,308.60,302.00,306.45,305.937278151484057310,263130,3868,80501276.00,184704,70.19,6.60,2.85
17-January-2025,297.40,305.00,295.70,302.55,302.053794689077550320,140051,3892,42302936.00,55532,39.65,9.30,5.15
16-January-2025,301.35,301.55,296.65,297.65,298.645566776855991961,329433,5684,98383705.00,221774,67.32,4.90,-3.70
15-January-2025,295.00,302.50,291.60,298.65,299.522207231074282655,183071,3098,54833830.00,43155,23.57,10.90,3.65
14-January-2025,286.50,293.00,286.50,290.00,290.749394093460158251,405178,7041,117805258.00,110617,27.30,6.50,3.50
13-January-2025,294.10,298.35,287.00,287.55,293.899371985164687536,796478,13842,234084384.00,474335,59.55,11.35,-6.55
10-January-2025,303.30,305.00,298.45,299.80,300.878164907359563002,541880,12263,163039860.00,335330,61.88,6.55,-3.50
9-January-2025,307.75,307.75,303.90,305.30,305.742158843015270259,247540,2480,75683414.00,180782,73.03,3.85,-2.45
8-January-2025,305.35,307.75,303.00,306.50,305.399776041081000037,213432,5538,65182085.00,97111,45.50,4.75,1.15
7-January-2025,305.95,310.75,303.00,305.20,307.039591194311318039,622007,9555,190980775.00,424992,68.33,7.75,-0.75
6-January-2025,314.20,316.25,304.75,306.05,308.309755384621544892,249739,8214,76996970.00,111407,44.61,11.50,-8.15
3-January-2025,316.95,317.95,313.70,316.15,316.196664953717857816,307462,6839,97218459.00,87897,28.59,4.25,-0.80
2-January-2025,310.75,317.10,308.70,315.40,312.073218877661669742,451878,6128,141019022.00,289585,64.08,8.40,4.65
1-January-2025,308.70,311.25,306.00,310.50,308.796978132998069238,89084,1662,27508870.00,27898,31.32,5.25,1.80
31-December-2024,308.30,309.85,305.10,308.60,307.386741142813631963,183862,4296,56516741.00,65170,35.44,4.75,0.30
30-December-2024,308.60,311.80,306.40,308.35,308.243106327704583410,161670,4768,49833663.00,54703,33.84,5.40,-0.25
27-December-2024,310.55,312.45,308.85,309.55,309.885599517160579610,197167,6061,61099214.00,69211,35.10,3.60,-1.00
26-December-2024,310.35,313.20,308.75,310.35,310.874100794139843387,144433,3954,44900479.00,49072,33.98,4.45,0.00
24-December-2024,314.95,316.70,308.95,310.15,313.473632076228364266,249356,7371,78166531.00,159918,64.13,7.75,-4.80
23-December-2024,318.35,318.35,311.60,315.25,314.888355239010066458,128049,2730,40321139.00,29559,23.08,6.75,-3.10
20-December-2024,321.05,325.50,313.70,315.75,318.463704630788485607,383520,8813,122137200.00,100158,26.12,11.80,-5.30
19-December-2024,315.65,323.75,315.65,321.85,320.777732544181045731,191598,4774,61460372.00,60727,31.70,8.10,6.20
18-December-2024,325.25,329.30,320.75,321.55,323.176640935215371359,225146,6108,72761928.00,82939,36.84,8.55,-3.70
17-December-2024,332.85,335.50,328.20,330.00,330.886895230094768067,152372,2606,50417898.00,31735,20.83,7.30,-2.85
16-December-2024,334.55,336.20,331.20,334.80,334.000134594362137621,304619,4586,101742787.00,120981,39.72,5.00,0.25
13-December-2024,331.75,334.40,325.10,334.00,330.343331255297240881,428289,5798,141482415.00,229357,53.55,9.30,2.25
12-December-2024,327.65,329.90,326.00,329.00,328.873574861415662455,1545990,1901,508435258.00,1472297,95.23,3.90,1.35
11-December-2024,327.35,329.00,327.00,327.50,327.858640830280081556,65231,1470,21386547.00,22190,34.02,2.00,0.15
10-December-2024,332.00,332.00,325.35,327.85,328.555956042052113434,323218,4844,106195199.00,111648,34.54,6.65,-4.15
9-December-2024,328.25,330.60,326.85,329.10,328.556544368724195112,621733,4262,204274446.00,486604,78.27,3.75,0.85
6-December-2024,326.95,332.65,326.80,328.95,330.687257743219985562,944762,8980,312420755.00,639354,67.67,5.85,2.00
5-December-2024,325.45,330.20,319.60,328.60,323.408863407903033884,379019,5310,122578104.00,198685,52.42,10.60,3.15
4-December-2024,329.35,331.10,321.25,325.00,325.893577068249557332,793485,10840,258591665.00,580163,73.12,9.85,-4.35
3-December-2024,324.95,331.30,324.95,329.75,325.527937852061897134,3269489,11214,1064310012.00,2653434,81.16,6.35,4.80
2-December-2024,329.35,331.70,326.20,328.00,328.617933899837116947,441421,5360,145058857.00,106464,24.12,5.50,-1.35
29-November-2024,332.85,332.85,326.50,329.60,329.418472670716674985,362633,8745,119458009.00,66259,18.27,6.35,-3.25
28-November-2024,338.55,341.50,332.45,333.70,334.526370358554842826,175538,4436,58722090.00,47867,27.27,9.05,-4.85
