Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,671.10,684.90,669.15,674.05,675.426206977622486062,1599284,41309,1080198326.00,757727,47.38,15.75,2.95
27-March-2025,673.95,677.05,661.35,668.60,670.488472573146265141,1752516,35608,1175041776.00,817546,46.65,15.70,-5.35
26-March-2025,710.45,717.75,707.00,707.95,711.849229254968698069,749794,23953,533740281.00,364763,48.65,10.75,-2.50
25-March-2025,719.40,722.50,706.35,710.45,714.460220511980787074,549630,15545,392688771.00,200842,36.54,16.15,-8.95
24-March-2025,714.95,717.55,702.25,713.40,710.724500946136830041,562815,16749,400006410.00,207510,36.87,15.30,-1.55
21-March-2025,693.30,704.90,688.95,702.85,698.422610762312524838,1021602,27367,713509936.00,447206,43.77,15.95,9.55
20-March-2025,685.00,692.85,679.00,690.15,685.839325107745489536,713951,17432,489655672.00,441794,61.88,13.85,5.15
19-March-2025,688.95,688.95,678.80,681.90,681.813251057065051242,425234,11142,289930176.00,186662,43.90,10.15,-7.05
18-March-2025,665.70,681.80,664.15,679.80,675.328489262498723751,440745,13093,297647655.00,202609,45.97,17.65,14.10
17-March-2025,665.50,666.15,657.50,660.90,661.866274193081874350,449457,10654,297480430.00,185594,41.29,8.65,-4.60
13-March-2025,673.30,673.30,649.55,655.40,658.027216397089049300,1189577,26038,782774042.00,607491,51.07,23.75,-17.90
12-March-2025,652.40,671.80,652.40,668.45,665.151619061623726630,788852,13428,524706185.00,211117,26.76,19.40,16.05
11-March-2025,640.00,651.15,638.35,647.85,646.793590433131082239,475976,11110,307858226.00,165654,34.80,12.80,7.85
10-March-2025,649.30,654.00,643.20,647.90,648.950631756019659508,774587,25942,502668723.00,299784,38.70,10.80,-1.40
7-March-2025,640.50,651.50,635.60,648.45,647.031148185774350755,950874,24792,615245096.00,320543,33.71,15.90,7.95
6-March-2025,654.65,656.00,636.00,639.75,641.389975230756015419,1129223,36412,724272312.00,441464,39.09,20.00,-14.90
5-March-2025,619.00,641.80,618.75,640.95,634.348732736425947147,643986,15286,408511703.00,209872,32.59,23.05,21.95
4-March-2025,616.00,629.00,613.00,619.15,621.101215872105769068,415093,13510,257814767.00,144378,34.78,16.00,3.15
3-March-2025,621.00,626.90,606.20,621.10,617.614746695130963133,815993,21558,503969310.00,312729,38.32,20.70,0.10
28-February-2025,645.65,645.65,618.45,620.55,628.766690922242188878,1150251,29356,723239515.00,599008,52.08,27.20,-25.10
27-February-2025,665.80,665.80,645.90,648.20,652.330235946959105406,879774,40478,573903181.00,392282,44.59,19.90,-17.60
25-February-2025,668.95,672.20,660.10,661.75,665.239296847619574640,433704,18670,288516944.00,129809,29.93,12.10,-7.20
24-February-2025,670.00,676.75,666.00,668.20,671.034308672042911016,377339,18185,253207415.00,127469,33.78,10.75,-1.80
21-February-2025,686.00,690.15,671.30,672.90,676.970769560471873489,1003235,36721,679160770.00,458414,45.69,18.85,-13.10
20-February-2025,680.75,692.60,675.30,689.90,687.735628111593387680,595555,11750,409584392.00,214693,36.05,17.30,9.15
19-February-2025,680.70,690.90,675.50,680.85,683.699778952588271879,475916,10202,325383664.00,119886,25.19,15.40,0.15
18-February-2025,687.00,688.00,672.50,681.60,678.846697023441050511,789939,23339,536247481.00,373468,47.28,15.50,-5.40
17-February-2025,679.80,690.60,667.00,686.50,683.678938086770721284,546636,11788,373723520.00,151581,27.73,23.60,6.70
14-February-2025,685.05,691.00,669.30,680.25,678.292273125841661033,1115354,38189,756536000.00,429928,38.55,21.70,-4.80
13-February-2025,687.75,693.20,679.35,683.65,686.798169704543151017,779437,22262,535315905.00,245432,31.49,13.85,-4.10
12-February-2025,679.70,687.45,667.40,684.40,678.837491555431313625,729759,17025,495387769.00,153347,21.01,20.05,4.70
11-February-2025,696.65,696.65,675.00,677.70,682.479626175382273488,626711,22086,427717489.00,284682,45.42,21.65,-18.95
10-February-2025,711.65,711.65,693.15,695.80,698.521267460273692005,507724,15202,354656012.00,217287,42.80,18.50,-15.85
