Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,1419.95,1443.90,1409.00,1418.00,1418.537653716400043530,18378,1901,26069885.00,7493,40.77,34.90,-1.95
27-March-2025,1415.20,1429.95,1406.95,1423.10,1418.842532823958196109,22773,2303,32311301.00,8548,37.54,23.00,7.90
26-March-2025,1461.05,1461.25,1408.90,1415.60,1429.931846724903016940,35831,3438,51235888.00,13594,37.94,52.35,-45.45
25-March-2025,1479.45,1483.75,1450.00,1457.10,1462.683346826528907565,77817,7180,113821630.00,18830,24.20,33.75,-22.35
24-March-2025,1419.70,1468.20,1405.50,1458.60,1443.940096998295975881,68661,5913,99142371.00,37239,54.24,62.70,38.90
21-March-2025,1397.95,1431.60,1381.00,1410.05,1411.384392877804203895,31114,2931,43913814.00,9745,31.32,50.60,12.10
20-March-2025,1409.15,1420.65,1400.55,1410.50,1413.912852443090238678,45291,4146,64037527.00,25206,55.65,20.10,1.35
19-March-2025,1434.25,1434.25,1395.00,1396.35,1403.735576384480376414,53558,5078,75181270.00,28811,53.79,39.25,-37.90
18-March-2025,1445.00,1451.45,1426.65,1431.15,1435.492130892091936112,25670,3514,36849083.00,9784,38.11,24.80,-13.85
17-March-2025,1434.05,1445.65,1427.80,1439.65,1437.513539508730393607,13516,2315,19429433.00,7609,56.30,17.85,5.60
13-March-2025,1442.95,1456.00,1421.75,1439.65,1437.714664897146648971,16577,2308,23832996.00,6973,42.06,34.25,-3.30
12-March-2025,1477.95,1485.05,1409.60,1438.35,1431.085676366496264254,40688,3377,58228014.00,13495,33.17,75.45,-39.60
11-March-2025,1460.65,1485.00,1452.95,1479.15,1467.548933909641899886,41413,5177,60775604.00,15794,38.14,32.05,18.50
10-March-2025,1492.85,1499.55,1480.00,1484.90,1490.832746941133224807,19043,2978,28389928.00,7367,38.69,19.55,-7.95
7-March-2025,1503.45,1503.90,1482.30,1492.70,1492.124256837098692033,20184,2268,30117036.00,7472,37.02,21.60,-10.75
6-March-2025,1558.95,1558.95,1501.60,1503.60,1515.108766170320866064,25587,2608,38767088.00,10055,39.30,57.35,-55.35
5-March-2025,1488.00,1548.65,1488.00,1539.10,1522.070543324792135125,19123,1779,29106555.00,6513,34.06,60.65,51.10
4-March-2025,1475.00,1499.00,1429.15,1486.70,1477.817959805525059933,44633,6108,65959449.00,12868,28.83,69.85,11.70
3-March-2025,1506.85,1530.00,1476.25,1493.15,1497.393566881221202208,56862,4499,85144793.00,25056,44.06,53.75,-13.70
28-February-2025,1561.20,1568.60,1480.00,1488.90,1503.548794132272501243,48264,3871,72567279.00,18816,38.99,88.60,-72.30
