Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,11588.50,11687.65,11460.20,11504.50,11577.170728545501685247,7714,1545,89306295.00,5224,67.72,227.45,-84.00
27-March-2025,11399.10,11625.00,11343.15,11588.50,11511.972372697724810400,3692,905,42502202.00,1596,43.23,281.85,189.40
26-March-2025,11295.75,11485.90,11295.75,11399.35,11425.057163931403282316,5423,1561,61958085.00,2056,37.91,190.15,103.60
25-March-2025,11100.05,11476.65,11100.05,11428.05,11424.002729128612872031,46535,9384,531615967.00,32147,69.08,376.60,328.00
24-March-2025,10979.00,11079.25,10851.95,11050.80,10983.520504731861198738,5072,1410,55708416.00,2561,50.49,227.30,71.80
21-March-2025,11011.90,11064.95,10884.50,10979.00,11007.571221771858714533,24178,2848,266141057.00,20737,85.77,180.45,-32.90
20-March-2025,10933.00,11105.95,10814.10,10950.15,10906.927133562954458476,13065,2557,142499003.00,9081,69.51,291.85,17.15
19-March-2025,10749.70,10947.15,10700.45,10934.70,10875.736247010219612959,9198,1607,100035022.00,6505,70.72,246.70,185.00
18-March-2025,10598.95,10743.65,10546.35,10699.45,10671.139923793395427603,4724,2014,50410465.00,1490,31.54,197.30,100.50
17-March-2025,10525.00,10577.45,10449.80,10547.80,10521.819631155846787813,14803,2488,155754496.00,12982,87.70,127.65,22.80
13-March-2025,10598.45,10598.45,10387.80,10448.50,10452.521942110177404295,1071,366,11194651.00,418,39.03,210.65,-149.95
12-March-2025,10450.05,10540.55,10370.00,10518.70,10452.119084967320261437,7650,1046,79958711.00,6243,81.61,170.55,68.65
11-March-2025,10479.30,10511.00,10379.55,10439.00,10451.676570048309178743,4140,1564,43269941.00,1304,31.50,131.45,-40.30
10-March-2025,10624.90,10643.15,10467.00,10514.40,10539.293103448275862068,3074,1177,32397787.00,1368,44.50,176.15,-110.50
