Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,1337.00,1357.80,1326.90,1348.40,1344.152690627929155871,244311,8471,328391288.00,149619,61.24,30.90,11.40
27-March-2025,1332.20,1351.00,1332.20,1336.75,1342.590928907044709605,61933,3177,83150684.00,27919,45.08,18.80,4.55
26-March-2025,1343.00,1357.75,1331.20,1335.40,1342.530281248217240002,175290,6956,235332133.00,82053,46.81,26.55,-7.60
25-March-2025,1358.60,1363.55,1330.00,1344.40,1346.557273344329776519,548056,22351,737988793.00,305067,55.66,33.55,-14.20
24-March-2025,1355.00,1372.50,1343.50,1358.20,1360.531129035459772776,302258,14034,411231418.00,209046,69.16,29.00,3.20
21-March-2025,1318.65,1347.85,1312.05,1341.45,1338.496017684436549846,331591,7185,443833233.00,210404,63.45,35.80,22.80
20-March-2025,1321.95,1324.00,1311.35,1321.35,1318.203663527990874728,44711,2535,58938204.00,18318,40.97,12.65,-0.60
19-March-2025,1309.55,1316.70,1302.20,1312.70,1311.312752889121765202,171765,3707,225237635.00,130109,75.75,14.50,3.15
18-March-2025,1281.10,1313.60,1281.10,1309.60,1301.509108620836770101,281272,11776,366078070.00,121913,43.34,32.50,28.50
17-March-2025,1257.00,1274.00,1256.35,1268.35,1268.752511873450774849,211396,7554,268209206.00,159134,75.28,17.65,11.35
13-March-2025,1244.90,1256.00,1244.85,1250.25,1254.265738737522688591,1326107,7012,1663290576.00,1194499,90.08,11.15,5.35
12-March-2025,1244.80,1251.05,1235.40,1242.60,1243.254502235375606070,254096,6267,315905996.00,209332,82.38,15.65,-2.20
11-March-2025,1214.85,1247.60,1214.85,1244.80,1240.575578756241488878,158616,5953,196775136.00,86145,54.31,32.75,29.95
10-March-2025,1212.00,1225.50,1209.80,1214.50,1220.349636176148283675,309353,8606,377518821.00,228340,73.81,15.70,2.50
7-March-2025,1214.00,1217.55,1206.45,1214.30,1213.506135917712111302,168190,6333,204099597.00,124923,74.27,11.10,0.30
6-March-2025,1225.10,1225.10,1209.05,1218.40,1218.006020636890757859,53981,2664,65749183.00,27818,51.53,16.05,-6.70
5-March-2025,1219.45,1226.20,1211.50,1215.60,1215.957474895101598227,212110,7646,257916740.00,144779,68.26,14.70,-3.85
4-March-2025,1206.10,1216.00,1206.10,1210.45,1209.088312662024093935,157384,5493,190291155.00,100418,63.80,9.90,4.35
3-March-2025,1206.60,1219.15,1204.10,1206.10,1209.871403210225017762,1033074,7762,1249886690.00,955513,92.49,15.05,-0.50
28-February-2025,1216.90,1224.85,1200.20,1203.10,1215.513356071353113398,198786,7604,241627038.00,139993,70.42,24.65,-13.80
27-February-2025,1224.00,1234.30,1218.60,1221.45,1226.546532085918217597,239856,4770,294194545.00,186000,77.55,15.70,-2.55
25-February-2025,1227.00,1231.95,1221.40,1224.00,1224.432567305270332340,674910,14576,826381784.00,260234,38.56,10.55,-3.00
24-February-2025,1231.80,1231.80,1210.30,1218.20,1216.402992311422040590,129933,6036,158050890.00,74129,57.05,21.50,-13.60
