Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,2733.30,2734.00,2635.10,2666.35,2659.238511860689616390,213394,17501,567465543.00,104305,48.88,98.90,-66.95
27-March-2025,2737.00,2751.20,2696.00,2733.30,2728.004291937137000341,234160,14166,638789485.00,163698,69.91,55.20,-3.70
26-March-2025,2759.95,2793.50,2736.85,2742.90,2764.063262822370327441,86275,6451,238469558.00,33916,39.31,56.65,-17.05
25-March-2025,2787.95,2802.50,2725.30,2736.80,2749.817855307518113384,177079,14615,486934996.00,79778,45.05,77.20,-51.15
24-March-2025,2832.30,2832.30,2710.00,2775.50,2758.882165238337443978,208402,16056,574956561.00,108122,51.88,122.30,-56.80
21-March-2025,2830.15,2893.20,2781.05,2799.30,2855.398177945889292744,148843,8038,425006031.00,83052,55.80,112.15,-30.85
20-March-2025,2829.65,2847.00,2801.00,2829.75,2829.528780321074949531,93623,6757,264908973.00,62431,66.68,46.00,0.10
19-March-2025,2809.95,2830.00,2780.00,2786.20,2809.177589218216417715,153444,8818,431051446.00,99964,65.15,50.00,-23.75
18-March-2025,2728.00,2798.35,2717.55,2792.50,2769.455283712551862624,67727,6417,187566898.00,22410,33.09,80.80,64.50
17-March-2025,2639.90,2726.85,2639.90,2704.10,2688.101103823388257878,37506,3897,100819920.00,11080,29.54,86.95,64.20
13-March-2025,2688.95,2688.95,2617.15,2643.40,2641.087903545407432247,65606,6410,173271213.00,33709,51.38,71.80,-45.55
12-March-2025,2645.65,2677.10,2636.55,2648.80,2653.603102467756677160,39388,3008,104520119.00,8936,22.69,40.55,3.15
11-March-2025,2693.95,2693.95,2614.05,2645.65,2649.585544116491338370,89071,6541,236001234.00,23523,26.41,79.90,-48.30
10-March-2025,2726.95,2734.30,2665.05,2701.75,2706.013781259163071252,95492,6988,258402668.00,26088,27.32,69.25,-25.20
7-March-2025,2734.20,2765.00,2709.15,2728.20,2736.211588425013438451,44648,4321,122166375.00,13598,30.46,55.85,-6.00
6-March-2025,2750.05,2767.20,2697.05,2742.70,2736.363802313516006302,52042,4626,142405845.00,18485,35.52,70.15,-7.35
5-March-2025,2629.95,2737.65,2629.95,2725.70,2706.398704505890449779,123505,10833,334253772.00,35498,28.74,107.70,95.75
4-March-2025,2574.95,2626.05,2549.55,2614.05,2604.237680450207976510,61305,8160,159652791.00,18199,29.69,76.50,39.10
3-March-2025,2629.40,2695.00,2593.95,2612.25,2628.180271897696939598,112763,8203,296361492.00,30916,27.42,101.05,-17.15
28-February-2025,2690.05,2695.45,2573.00,2584.00,2612.338443188706176798,102286,8215,267205650.00,27475,26.86,122.45,-106.05
27-February-2025,2811.00,2837.15,2702.95,2725.95,2741.339515685195376995,90850,7768,249050695.00,27408,30.17,134.20,-85.05
25-February-2025,2738.05,2804.55,2726.25,2780.15,2776.201082410824108241,243900,21173,677115444.00,81661,33.48,78.30,42.10
24-February-2025,2667.00,2716.50,2634.00,2709.45,2691.790437034544310650,136694,11116,367951602.00,36525,26.72,82.50,42.45
21-February-2025,2820.00,2820.00,2653.25,2667.80,2693.900968409064846632,252889,20013,681257922.00,80817,31.96,166.75,-152.20
20-February-2025,2745.00,2844.10,2690.45,2840.30,2785.577675050985723997,73550,6106,204879238.00,17482,23.77,153.65,95.30
19-February-2025,2753.95,2782.40,2728.00,2757.30,2755.717005555255919313,37082,3518,102187498.00,8641,23.30,54.40,3.35
18-February-2025,2832.60,2840.00,2756.20,2788.40,2791.775813592735028924,61886,5172,172771838.00,13254,21.42,83.80,-44.20
17-February-2025,2947.95,2947.95,2792.75,2830.35,2825.898360342880771004,125758,9541,355379326.00,31507,25.05,155.20,-117.60
14-February-2025,2990.25,3011.80,2908.90,2940.75,2959.900362265484640532,33953,2712,100497497.00,7772,22.89,102.90,-49.50
13-February-2025,3010.00,3047.35,2972.90,2978.20,3006.767261647713641379,41682,3775,125328073.00,13950,33.47,74.45,-31.80
12-February-2025,3084.55,3084.55,2956.00,2986.00,3002.461822134233919490,51522,4393,154692838.00,10753,20.87,128.55,-98.55
11-February-2025,3140.05,3152.40,3072.00,3084.60,3112.852464544824820445,109716,10633,341529721.00,27886,25.42,80.40,-55.45
10-February-2025,3200.05,3276.30,3127.80,3137.45,3195.421925670351908833,120571,10351,385275217.00,30847,25.58,148.50,-62.60
7-February-2025,3194.75,3221.40,3110.50,3197.75,3173.151586667174197150,78813,9130,250085596.00,14337,18.19,110.90,3.00
6-February-2025,3150.05,3178.35,3122.00,3139.40,3145.426811937470393178,29554,3158,92959944.00,6013,20.35,56.35,-10.65
5-February-2025,3185.40,3219.95,3141.05,3177.40,3177.734212988957514504,53430,6058,169786339.00,17302,32.38,78.90,-8.00
4-February-2025,3180.85,3270.00,3140.00,3190.35,3190.837771320860324803,121489,11039,387651690.00,33339,27.44,130.00,9.50
3-February-2025,3069.80,3188.00,3044.35,3171.35,3145.282160493827160493,178200,14789,560489281.00,78879,44.26,143.65,101.55
1-February-2025,2997.65,3099.50,2994.55,3080.15,3054.948831015465018404,79599,6413,243170872.00,,,104.95,82.50
