Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,1733.00,1740.60,1705.60,1735.45,1722.429850774408235216,106081,5095,182717081.00,90266,85.09,35.00,2.45
27-March-2025,1750.00,1750.00,1721.00,1731.20,1727.316744875277846381,64784,3727,111902488.00,48695,75.17,29.00,-18.80
26-March-2025,1766.00,1770.60,1745.80,1757.70,1751.975988670409985980,140517,7715,246182410.00,123401,87.82,24.80,-8.30
25-March-2025,1788.95,1795.70,1758.85,1766.00,1771.017540255676880046,63283,7406,112075303.00,15327,24.22,36.85,-22.95
24-March-2025,1788.95,1818.35,1778.35,1785.30,1793.584816999947788858,19153,3228,34352530.00,4954,25.87,40.00,-3.65
21-March-2025,1750.45,1790.00,1750.45,1783.90,1776.912086834275999607,30587,2885,54350410.00,8940,29.23,39.55,33.45
20-March-2025,1732.00,1757.00,1722.90,1750.10,1743.302759978221719646,23877,2617,41624840.00,12335,51.66,34.10,18.10
19-March-2025,1749.95,1749.95,1725.95,1733.45,1732.395151072487963390,134174,5938,232442387.00,114649,85.45,24.00,-16.50
18-March-2025,1723.70,1750.05,1698.60,1748.60,1731.735487951005192384,120176,5830,208113044.00,83251,69.27,51.45,24.90
17-March-2025,1697.40,1720.00,1688.90,1706.05,1705.560383942268219432,185132,10634,315753805.00,157991,85.34,31.10,8.65
13-March-2025,1676.30,1687.75,1663.35,1683.85,1682.329019365773532396,95581,5647,160798690.00,76573,80.11,24.40,7.55
12-March-2025,1667.45,1680.70,1659.95,1676.35,1672.433807582521594610,134177,5259,224402151.00,112132,83.57,20.75,8.90
11-March-2025,1617.80,1663.80,1607.90,1655.65,1650.879452652363076993,87111,6721,143809760.00,29476,33.84,55.90,37.85
10-March-2025,1620.05,1643.20,1602.65,1611.15,1612.373459119496855345,31800,4581,51273476.00,9425,29.64,40.55,-8.90
7-March-2025,1641.00,1641.00,1603.65,1609.90,1613.833918584991546364,23067,2233,37226307.00,9107,39.48,37.35,-31.10
6-March-2025,1614.10,1616.60,1573.00,1614.10,1596.009890346162115674,18604,1954,29692168.00,5274,28.35,43.60,0.00
5-March-2025,1566.55,1586.30,1555.00,1581.95,1572.179239390042256108,27215,2493,42786858.00,9426,34.64,31.30,15.40
4-March-2025,1585.00,1588.90,1556.10,1567.20,1565.306482680223562474,31669,5261,49571691.00,8124,25.65,32.80,-17.80
3-March-2025,1580.20,1607.30,1580.20,1585.15,1593.981410171291993095,37655,4231,60021370.00,15833,42.05,27.10,4.95
28-February-2025,1657.00,1667.00,1587.40,1593.90,1619.834258442703740208,57831,5599,93676635.00,15093,26.10,79.60,-63.10
27-February-2025,1628.00,1652.75,1605.00,1647.60,1625.822310405643738977,52164,3699,84809395.00,15460,29.64,47.75,19.60
25-February-2025,1639.60,1650.40,1606.30,1613.65,1617.667270158963850148,100526,9479,162617620.00,35269,35.08,44.10,-25.95
24-February-2025,1638.95,1669.65,1624.85,1639.60,1646.827281049740616417,19662,3525,32379918.00,4112,20.91,44.80,0.65
21-February-2025,1671.95,1681.25,1632.00,1643.05,1648.175081675081675081,26936,3197,44395244.00,11275,41.86,49.25,-28.90
20-February-2025,1666.45,1676.80,1663.00,1669.70,1668.989177489177489177,16632,1748,27758628.00,6063,36.45,13.80,3.25
19-February-2025,1659.80,1699.20,1647.35,1678.00,1673.759297715688125353,31782,3098,53195418.00,11134,35.03,51.85,18.20
18-February-2025,1729.95,1730.00,1699.00,1701.55,1718.837023301534818256,44761,2702,76936864.00,23232,51.90,31.00,-28.40
17-February-2025,1700.50,1734.70,1696.60,1713.40,1718.425246371114917034,35617,3180,61205152.00,8824,24.77,38.10,12.90
14-February-2025,1751.00,1751.70,1685.00,1704.65,1709.683355176933158584,26705,2670,45657094.00,11023,41.28,66.70,-46.35
13-February-2025,1700.00,1753.00,1698.95,1746.50,1739.261837831084457771,32016,2518,55684207.00,12289,38.38,54.05,46.50
12-February-2025,1700.30,1713.10,1688.05,1693.65,1699.924781856338131880,27161,2418,46171657.00,10198,37.55,25.05,-6.65
11-February-2025,1720.15,1734.40,1695.10,1699.75,1705.803388182767435998,111092,6860,189501110.00,66613,59.96,39.30,-20.40
10-February-2025,1748.85,1749.00,1725.00,1732.55,1730.936033836225691113,22934,2064,39697287.00,5188,22.62,24.00,-16.30
7-February-2025,1745.15,1753.50,1727.90,1749.50,1741.647490221642764015,18408,1810,32060247.00,6852,37.22,25.60,4.35
6-February-2025,1757.95,1768.50,1736.00,1742.50,1749.138530746676306382,24897,2235,43548302.00,8831,35.47,32.50,-15.45
5-February-2025,1767.25,1771.95,1735.40,1753.40,1749.528822864524463103,24772,3101,43339328.00,9383,37.88,36.55,-13.85
4-February-2025,1750.55,1775.70,1740.60,1767.05,1761.866131928648389800,41765,3514,73584339.00,12295,29.44,35.10,16.50
3-February-2025,1775.00,1787.65,1710.70,1739.95,1744.997269788572427048,45784,3829,79892955.00,12535,27.38,76.95,-35.05
1-February-2025,1749.95,1789.50,1734.80,1742.70,1761.993703442829395317,46851,3189,82551167.00,,,54.70,-7.25
31-January-2025,1748.85,1770.35,1707.50,1743.10,1747.324897369964361438,66501,4707,116198853.00,13884,20.88,62.85,-5.75
30-January-2025,1739.80,1758.90,1726.00,1745.25,1737.570911245720305504,30376,2865,52780454.00,8170,26.90,32.90,5.45
29-January-2025,1703.25,1745.00,1696.90,1736.70,1716.986439805967955313,27212,2684,46722635.00,10826,39.78,48.10,33.45
28-January-2025,1788.95,1788.95,1693.65,1705.90,1712.051047993223637969,110974,8485,189993153.00,31676,28.54,95.30,-83.05
27-January-2025,1819.90,1822.15,1775.10,1785.75,1797.835025139929797931,10541,1267,18950979.00,2899,27.50,47.05,-34.15
24-January-2025,1825.25,1843.00,1807.75,1821.90,1822.537661025511492801,19795,2831,36077133.00,7659,38.69,35.25,-3.35
23-January-2025,1792.95,1839.55,1790.05,1834.05,1828.707645056860629202,24094,2880,44060882.00,6717,27.88,49.50,41.10
22-January-2025,1786.35,1802.75,1773.10,1798.00,1789.053637526078470960,14859,1654,26583548.00,3795,25.54,29.65,11.65
21-January-2025,1775.00,1805.00,1758.75,1761.80,1779.644485269893685879,258009,35763,459164294.00,116236,45.05,46.25,-13.20
20-January-2025,1786.40,1798.85,1768.90,1775.90,1780.036839323467230443,18920,2377,33678297.00,10136,53.57,29.95,-10.50
