Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,3097.95,3111.70,3053.40,3063.80,3079.217273588736970353,22161,3267,68238534.00,10020,45.21,58.30,-34.15
27-March-2025,3072.30,3098.00,3044.10,3085.65,3076.894154680190617758,22873,2754,70377800.00,10224,44.70,53.90,13.35
26-March-2025,3069.00,3077.95,3034.15,3057.20,3059.038567193407131395,36767,5648,112471671.00,17393,47.31,43.80,-11.80
25-March-2025,3096.95,3101.30,3046.00,3055.15,3071.373375693341319236,38401,7591,117943809.00,15980,41.61,55.30,-41.80
24-March-2025,3163.65,3179.00,3075.00,3078.95,3092.881690062466088843,71879,11432,222313243.00,35885,49.92,104.00,-84.70
21-March-2025,3192.80,3192.80,3156.20,3163.60,3172.429661882492071171,18603,3712,59016709.00,8763,47.11,36.60,-29.20
20-March-2025,3103.90,3205.70,3080.00,3192.80,3172.339228171483075971,38791,4477,123058211.00,19043,49.09,125.70,88.90
19-March-2025,3097.95,3097.95,3059.40,3075.35,3074.928901925142526646,24206,3920,74431729.00,10996,45.43,38.55,-22.60
18-March-2025,3017.70,3084.90,3017.40,3082.75,3056.196254962027560800,101521,4098,310268100.00,88474,87.15,67.50,65.05
17-March-2025,3000.00,3037.90,2993.85,3016.80,3015.095836531082118188,10424,2580,31429359.00,4303,41.28,44.05,16.80
13-March-2025,3034.85,3049.55,3000.95,3009.25,3019.723359042971824334,12706,2530,38368605.00,4887,38.46,48.60,-25.60
12-March-2025,3039.95,3050.40,2996.05,3018.15,3018.631729879740980573,10810,1923,32631409.00,7364,68.12,54.35,-21.80
11-March-2025,3023.75,3055.00,3011.50,3044.55,3042.177743222229734297,14791,3899,44996851.00,4522,30.57,43.50,20.80
10-March-2025,3100.10,3100.10,3021.10,3026.70,3044.590310364699102659,24294,6006,73965277.00,14257,58.69,79.00,-73.40
7-March-2025,3123.00,3125.00,3075.05,3083.15,3101.221386674687922995,19947,3583,61860063.00,9012,45.18,49.95,-39.85
6-March-2025,3099.30,3129.00,3046.90,3123.15,3087.241257088846880907,12696,2025,39195615.00,4411,34.74,82.10,23.85
5-March-2025,3033.30,3105.00,3033.30,3086.50,3082.587128061811606115,24332,3387,75005510.00,13083,53.77,71.70,53.20
4-March-2025,3051.05,3069.10,3018.00,3051.25,3039.822687398224510164,38074,7555,115738209.00,17109,44.94,51.10,0.20
3-March-2025,3080.05,3101.85,3058.85,3082.55,3082.405616554054054054,9472,2228,29196546.00,3850,40.65,43.00,2.50
28-February-2025,3200.00,3216.95,3060.90,3074.70,3105.711278250930944217,27123,3635,84236207.00,12525,46.18,156.05,-125.30
27-February-2025,3169.50,3227.75,3169.50,3222.10,3204.269314079422382671,12465,2141,39941217.00,4517,36.24,58.25,52.60
25-February-2025,3148.10,3212.75,3140.00,3198.40,3192.294514810772393837,39397,8052,125766827.00,14111,35.82,72.75,50.30
24-February-2025,3149.00,3187.10,3135.55,3172.55,3173.717928073000536768,11178,2913,35475819.00,4032,36.07,51.55,23.55
21-February-2025,3195.60,3200.00,3163.20,3179.35,3180.329962789192687267,12362,2679,39315239.00,5553,44.92,36.80,-16.25
20-February-2025,3214.65,3215.00,3189.50,3191.90,3200.428306128433193236,10231,1639,32743582.00,3645,35.63,25.50,-22.75
19-February-2025,3201.30,3252.20,3190.70,3208.00,3221.272943148484425199,7159,1288,23061093.00,2620,36.60,61.50,6.70
18-February-2025,3244.95,3244.95,3192.70,3221.85,3214.177769576182567509,16257,3126,52252888.00,6128,37.69,52.25,-23.10
17-February-2025,3199.00,3240.40,3176.60,3234.60,3213.562371941665662287,8297,1283,26662927.00,3190,38.45,63.80,35.60
14-February-2025,3231.55,3244.35,3188.00,3212.10,3210.206528856047142456,10691,1393,34320318.00,5454,51.01,56.35,-19.45
13-February-2025,3254.60,3277.90,3216.30,3233.70,3247.337083708370837083,11110,1633,36077915.00,3594,32.35,61.60,-20.90
12-February-2025,3251.15,3317.00,3212.00,3254.75,3259.299613302397525135,25860,4010,84285488.00,11402,44.09,105.00,3.60
11-February-2025,3327.15,3360.40,3271.55,3283.60,3303.542247314133257104,41979,5129,138679400.00,10397,24.77,88.85,-43.55
10-February-2025,3395.00,3422.95,3311.80,3327.25,3357.458243050826471862,16153,1974,54233023.00,7356,45.54,111.15,-67.75
7-February-2025,3411.10,3453.25,3387.85,3424.15,3426.253367794486215538,25536,3145,87492806.00,12310,48.21,65.40,13.05
6-February-2025,3494.95,3504.30,3399.00,3410.75,3428.156435953648606326,19158,2548,65676621.00,5859,30.58,105.30,-84.20
5-February-2025,3574.00,3649.60,3472.05,3490.50,3529.917409647601753116,73241,9047,258534681.00,20815,28.42,177.55,-83.50
4-February-2025,3583.25,3613.35,3521.30,3599.15,3586.334892151531629508,55170,6754,197858096.00,12491,22.64,92.05,15.90
3-February-2025,3553.00,3642.75,3552.05,3580.25,3598.755667653190651834,68591,7750,246842250.00,32579,47.50,90.70,27.25
1-February-2025,3524.80,3632.75,3405.90,3552.70,3534.902075235352609217,77437,5837,273732212.00,,,226.85,27.90
31-January-2025,3368.90,3525.00,3368.90,3489.70,3491.321590776755560731,68696,8112,239839828.00,39191,57.05,156.10,120.80
30-January-2025,3399.95,3399.95,3350.00,3368.70,3370.947719828672209624,7938,1671,26758583.00,1659,20.90,49.95,-31.25
29-January-2025,3325.20,3374.50,3310.50,3368.50,3353.282963171211695248,7114,1404,23855255.00,2094,29.43,64.00,43.30
28-January-2025,3300.00,3370.00,3300.00,3324.90,3331.803205663604184067,25143,4022,83771528.00,4643,18.47,70.00,24.90
27-January-2025,3398.30,3400.45,3308.70,3318.20,3354.597982708933717579,13186,1804,44233729.00,3920,29.73,91.75,-80.10
24-January-2025,3398.35,3445.00,3380.35,3398.50,3409.173071606303566491,25319,2932,86316853.00,11105,43.86,64.65,0.15
23-January-2025,3361.40,3433.25,3334.20,3400.20,3392.825156707062264939,11965,1405,40595153.00,3285,27.46,99.05,38.80
22-January-2025,3350.70,3382.00,3335.65,3355.10,3360.608014619501370578,7661,1008,25745618.00,1917,25.02,46.35,4.40
21-January-2025,3400.40,3412.00,3336.95,3352.85,3369.415038221712019619,76658,10932,258292618.00,18985,24.77,75.05,-47.55
20-January-2025,3360.35,3407.25,3346.25,3381.00,3384.610012642225031605,19775,2499,66930663.00,8213,41.53,61.00,20.65
17-January-2025,3319.70,3366.00,3284.50,3357.85,3336.643924762784448736,23818,2537,79472185.00,12582,52.83,81.50,38.15
16-January-2025,3285.10,3334.95,3282.10,3319.20,3300.193176331741859342,93205,8554,307594505.00,72996,78.32,52.85,34.10
15-January-2025,3331.90,3338.30,3283.00,3323.55,3307.294907414842532962,62267,4098,205935332.00,44702,71.79,55.30,-8.35
14-January-2025,3382.80,3425.75,3310.85,3322.15,3336.711566034729966544,50216,4948,167556308.00,12663,25.22,114.90,-60.65
13-January-2025,3371.65,3465.90,3337.70,3378.30,3412.299762431724502020,49249,3857,168052351.00,23360,47.43,128.20,6.65
10-January-2025,3470.00,3487.95,3429.00,3439.35,3456.782336617963529278,35316,4449,122079725.00,19982,56.58,58.95,-30.65
9-January-2025,3499.75,3500.40,3462.00,3488.05,3483.275039745627980922,26418,4362,92021160.00,12059,45.65,38.40,-11.70
8-January-2025,3504.65,3516.15,3390.00,3484.90,3448.713169615889559187,124157,7900,428181881.00,53501,43.09,126.15,-19.75
7-January-2025,3499.50,3575.65,3482.45,3508.35,3528.531926486613848555,67906,6491,239608489.00,12665,18.65,93.20,8.85
6-January-2025,3460.25,3527.20,3441.10,3469.75,3491.984589276705040590,43606,5010,152271480.00,18373,42.13,86.10,9.50
3-January-2025,3409.60,3481.00,3378.20,3449.20,3443.245314856952931250,117339,16184,404026962.00,27715,23.62,102.80,39.60
2-January-2025,3255.05,3400.00,3250.55,3391.40,3339.404149131896715799,47287,6679,157910404.00,15861,33.54,149.45,136.35
1-January-2025,3230.05,3269.40,3230.05,3254.05,3254.717116205076288957,13829,2055,45009483.00,4490,32.47,39.35,24.00
31-December-2024,3254.70,3274.75,3230.60,3253.65,3258.146748269524070235,51142,5647,166628141.00,42748,83.59,44.15,-1.05
30-December-2024,3305.70,3314.85,3246.15,3256.65,3281.068703824697190531,19897,3766,65283424.00,10328,51.91,68.70,-49.05
27-December-2024,3314.05,3344.75,3302.20,3310.35,3320.002493543503428622,11229,1910,37280308.00,2996,26.68,42.55,-3.70
26-December-2024,3360.00,3374.45,3309.65,3320.80,3338.287714676034348165,20496,3336,68421545.00,8936,43.60,64.80,-39.20
24-December-2024,3404.70,3416.95,3339.25,3356.00,3372.801439286438272856,9866,1959,33276059.00,3689,37.39,77.70,-48.70
23-December-2024,3369.25,3405.00,3336.50,3396.50,3391.476058783156364810,49538,3778,168006941.00,12478,25.19,68.50,27.25
20-December-2024,3360.60,3419.30,3334.15,3357.65,3361.995093724296165889,69299,5129,232982898.00,10465,15.10,85.15,-2.95
19-December-2024,3334.70,3395.00,3334.70,3355.20,3366.701003624198494563,7174,852,24152713.00,2372,33.06,60.30,20.50
18-December-2024,3405.00,3423.30,3390.00,3401.45,3404.537763941526800216,7388,991,25152725.00,2659,35.99,33.30,-3.55
