Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2025,5416.75,5525.10,5288.00,5311.05,5426.741417900385621443,37083,6244,201239852.00,9333,25.17,237.10,-105.70
27-March-2025,5350.05,5445.00,5334.60,5412.40,5392.997512195121951219,41000,6812,221112898.00,12915,31.50,110.40,62.35
26-March-2025,5208.00,5408.90,5125.00,5318.85,5297.010174867664929661,48551,9119,257175141.00,13267,27.33,283.90,110.85
25-March-2025,5100.00,5247.95,5065.25,5184.85,5165.460084800940115291,62971,8870,325274187.00,23524,37.36,182.70,84.85
24-March-2025,5179.95,5179.95,5045.05,5054.75,5089.856339348488399343,21335,4026,108592085.00,10371,48.61,134.90,-125.20
21-March-2025,5225.00,5289.90,5128.15,5147.65,5198.233082706766917293,14231,3185,73976055.00,6040,42.44,161.75,-77.35
20-March-2025,5230.30,5274.55,5157.90,5220.40,5221.681232817247865721,13822,2902,72174078.00,4772,34.52,116.65,-9.90
19-March-2025,5275.00,5300.00,5194.45,5227.90,5252.820356167944884960,30772,6464,161639788.00,9163,29.78,105.55,-47.10
18-March-2025,5198.80,5283.00,5174.75,5262.25,5225.157106981416373681,19910,4290,104032878.00,6494,32.62,108.25,63.45
17-March-2025,5018.50,5178.70,5018.50,5157.00,5130.447410720525543364,42927,6381,220234716.00,15689,36.55,160.20,138.50
13-March-2025,5025.00,5108.00,4972.00,5025.50,5047.417170389837932544,11415,3072,57616267.00,2955,25.89,136.00,0.50
12-March-2025,5039.95,5107.40,4961.00,5015.05,5037.192546583850931677,29624,4364,149221792.00,4981,16.81,146.40,-24.90
11-March-2025,4750.00,5042.00,4722.75,4994.75,4923.913760137139843080,60668,8592,298724000.00,17325,28.56,319.25,244.75
10-March-2025,4997.35,4997.90,4786.05,4799.85,4882.370998666222074024,23992,3965,117137845.00,9776,40.75,211.85,-197.50
7-March-2025,5060.00,5100.00,4988.10,4997.35,5029.495123735218822382,16406,3212,82513897.00,4459,27.18,111.90,-62.65
6-March-2025,5199.25,5199.25,4974.10,5068.45,5039.534561850617525975,25505,4646,128533329.00,5560,21.80,225.15,-130.80
5-March-2025,4997.35,5318.20,4997.35,5105.30,5174.139227749281749672,66481,10679,343981950.00,10122,15.23,320.85,107.95
4-March-2025,4880.05,5066.80,4880.00,4997.95,4983.727988720890660702,41138,6708,205020602.00,20425,49.65,186.80,117.90
3-March-2025,4917.75,5020.00,4771.40,4951.05,4902.069142170102284409,57389,8471,281324846.00,19925,34.72,248.60,33.30
28-February-2025,4765.00,4870.20,4718.70,4853.30,4802.154530336625680306,39688,6051,190587909.00,10775,27.15,151.50,88.30
27-February-2025,4951.05,4963.55,4785.00,4804.85,4846.443100158337054930,24631,5064,119372740.00,8421,34.19,178.55,-146.20
25-February-2025,5101.00,5135.40,4940.05,4957.50,5015.660566190684043150,32074,7559,160872297.00,10272,32.03,195.35,-143.50
24-February-2025,5001.00,5080.05,4943.00,5072.40,5011.038907498067508374,19405,3378,97239210.00,4975,25.64,137.05,71.40
21-February-2025,5098.40,5165.90,5019.90,5045.85,5076.528174073693934106,9743,2222,49460614.00,2440,25.04,146.00,-52.55
20-February-2025,4986.45,5138.65,4951.00,5089.05,5052.069762525544359100,14191,2605,71693922.00,4222,29.75,187.65,102.60
19-February-2025,4971.00,5103.70,4940.00,4987.00,5036.926487126368748150,16895,2797,85098873.00,5632,33.34,163.70,16.00
18-February-2025,5060.10,5118.15,4928.85,4997.35,4999.204291705244812374,36722,6895,183580780.00,13076,35.61,189.30,-62.75
17-February-2025,5116.70,5162.50,4999.55,5097.05,5081.779765610198392291,36947,5957,187756517.00,12350,33.43,162.95,-19.65
14-February-2025,5290.00,5322.40,5035.00,5116.75,5168.731635044889655477,22611,3907,116870191.00,6344,28.06,287.40,-173.25
13-February-2025,5273.95,5376.35,5204.15,5258.90,5298.904006650041562759,30075,4202,159364538.00,13510,44.92,172.20,-15.05
12-February-2025,5232.00,5292.70,5111.15,5235.70,5236.630342914287557663,30999,5256,162330304.00,11104,35.82,181.55,3.70
11-February-2025,5224.95,5250.00,5133.20,5226.60,5203.053705661263800798,34056,5488,177195197.00,6879,20.20,116.80,1.65
10-February-2025,5455.50,5479.00,5170.05,5194.30,5287.326141569380818678,74437,12135,393572696.00,20353,27.34,308.95,-261.20
7-February-2025,5340.60,5515.00,5255.00,5455.50,5387.788712514142964365,89267,14535,480951735.00,16137,18.08,260.00,114.90
6-February-2025,5832.45,5832.45,5245.00,5275.00,5552.725497173306764047,224821,42819,1248369299.00,57564,25.60,587.45,-557.45
5-February-2025,5754.55,5905.60,5730.00,5751.35,5815.070851395873070920,57670,9729,335355136.00,18276,31.69,175.60,-3.20
4-February-2025,6150.05,6195.85,5653.95,5754.50,5776.284934010583809746,94106,16273,543583070.00,37004,39.32,541.90,-395.55
3-February-2025,6219.70,6231.35,6032.70,6134.85,6120.437543701927879332,40044,8387,245086801.00,9431,23.55,198.65,-84.85
1-February-2025,5809.85,6270.00,5682.00,6182.35,6066.552544444545794528,109631,14566,665082222.00,25268,23.05,588.00,372.50
31-January-2025,5574.95,5817.00,5520.05,5753.80,5736.551426182291182755,53815,12531,308712515.00,19519,36.27,296.95,178.85
30-January-2025,5618.00,5632.30,5458.60,5513.20,5561.947954404877617743,22634,6343,125889130.00,6100,26.95,173.70,-104.80
